,G,F,E,D,C,B,A
G,,0.32,0.339,0.34,0.001,0,0
F,,,0.57,0.429,0.001,0,0
E,,,,0.95,0.05,0,0
D,,,,,1,0,0
C,,,,,,0,0
B,,,,,,,1
A,,,,,,,
