Heating energy final,Power,Power,Power,Power,Power,Power,Power,Natural gas,Natural gas,Natural gas,Natural gas,Natural gas,Natural gas,Natural gas,Oil fuel,Oil fuel,Oil fuel,Oil fuel,Oil fuel,Oil fuel,Oil fuel,Wood fuel,Wood fuel,Wood fuel,Wood fuel,Wood fuel,Wood fuel,Wood fuel
Energy performance final,G,F,E,D,C,B,A,G,F,E,D,C,B,A,G,F,E,D,C,B,A,G,F,E,D,C,B,A
Single-family,841,839,836,910,967,979,1112,887,884,881,959,1019,1032,1059,1153,1149,1145,1247,1325,1342,1377,1222,1218,1214,1322,1405,1422,1457
Multi-family,1030,1027,1024,1114,1184,1199,1308,1067,1064,1060,1154,1227,1242,1253,1388,1383,1378,1500,1595,1615,1629,1478,1473,1468,1598,1699,1720,1755
