Heating energy final,Power,Power,Power,Power,Power,Power,Power,Natural gas,Natural gas,Natural gas,Natural gas,Natural gas,Natural gas,Natural gas,Oil fuel,Oil fuel,Oil fuel,Oil fuel,Oil fuel,Oil fuel,Oil fuel,Wood fuel,Wood fuel,Wood fuel,Wood fuel,Wood fuel,Wood fuel,Wood fuel
Energy performance final,G,F,E,D,C,B,A,G,F,E,D,C,B,A,G,F,E,D,C,B,A,G,F,E,D,C,B,A
Single-family,602,600,598,651,691,700,750,602,600,598,651,691,700,750,602,600,598,651,691,700,750,602,600,598,651,691,700,750
Multi-family,687,685,683,743,790,800,850,687,685,683,743,790,800,850,687,685,683,743,790,800,850,687,685,683,743,790,800,850
