,G,F,E,D,C,B,A
G,,60.77778617,108.9361846,160.4533555,216.496872,280.3135475,353.3908383
F,,,50.3815859,104.2339033,162.7565137,229.2762012,305.3284047
E,,,,55.97953989,116.7733202,185.7880958,264.607288
D,,,,,63.17690931,134.7987321,216.496872
C,,,,,,74.37281729,159.0938524
B,,,,,,,87.9678484
A,,,,,,,
