OCC,DATECONST,NATLOC,DECILE,DECILE_PB,ENERGIE,ETIQUETTE,NB_LOG
LP,Après 1948,AP,D8,D10,Autres,A,25.78934341
LP,Après 1948,MA,D8,D10,Autres,A,26.84614397
LP,Après 1948,AP,D9,D10,Autres,A,21.26906975
LP,Après 1948,MA,D9,D10,Autres,A,24.98576572
LP,Après 1948,AP,D10,D10,Autres,A,19.43017404
LP,Après 1948,MA,D10,D10,Autres,A,24.79940466
LP,Après 1948,AP,D1,D2,Autres,A,0.51854067
LP,Après 1948,MA,D1,D2,Autres,A,2.789294685
LP,Après 1948,AP,D2,D2,Autres,A,0.524637569
LP,Après 1948,MA,D2,D2,Autres,A,9.227793591
LP,Après 1948,AP,D3,D2,Autres,A,0.383255637
LP,Après 1948,MA,D3,D2,Autres,A,3.215935894
LP,Après 1948,AP,D4,D2,Autres,A,0.743946399
LP,Après 1948,MA,D4,D2,Autres,A,2.75323657
LP,Après 1948,AP,D5,D2,Autres,A,0.249293736
LP,Après 1948,MA,D5,D2,Autres,A,4.077071247
LP,Après 1948,AP,D6,D2,Autres,A,0.161505554
LP,Après 1948,MA,D6,D2,Autres,A,2.721378115
LP,Après 1948,AP,D7,D2,Autres,A,0.412732409
LP,Après 1948,MA,D7,D2,Autres,A,0.699314461
LP,Après 1948,AP,D8,D2,Autres,A,0.372248555
LP,Après 1948,MA,D8,D2,Autres,A,3.880611895
LP,Après 1948,AP,D9,D2,Autres,A,0.143514629
LP,Après 1948,MA,D9,D2,Autres,A,4.871001424
LP,Après 1948,AP,D10,D2,Autres,A,0.563195017
LP,Après 1948,MA,D10,D2,Autres,A,1.19082643
LP,Après 1948,AP,D1,D3,Autres,A,1.075547426
LP,Après 1948,MA,D1,D3,Autres,A,4.342382213
LP,Après 1948,AP,D2,D3,Autres,A,0.554868506
LP,Après 1948,MA,D2,D3,Autres,A,3.439332899
LP,Après 1948,AP,D3,D3,Autres,A,0.305174576
LP,Après 1948,MA,D3,D3,Autres,A,11.53761192
LP,Après 1948,AP,D4,D3,Autres,A,1.296754111
LP,Après 1948,MA,D4,D3,Autres,A,5.595311429
LP,Après 1948,AP,D5,D3,Autres,A,0.429782199
LP,Après 1948,MA,D5,D3,Autres,A,7.095778812
LP,Après 1948,AP,D6,D3,Autres,A,0.416355272
LP,Après 1948,MA,D6,D3,Autres,A,5.335727578
LP,Après 1948,AP,D7,D3,Autres,A,0.168595258
LP,Après 1948,MA,D7,D3,Autres,A,0.798229152
LP,Après 1948,AP,D8,D3,Autres,A,0.970898796
LP,Après 1948,MA,D8,D3,Autres,A,2.228110427
LP,Après 1948,AP,D9,D3,Autres,A,0.860474849
LP,Après 1948,MA,D9,D3,Autres,A,5.718785992
LP,Après 1948,AP,D10,D3,Autres,A,0.029130658
LP,Après 1948,MA,D10,D3,Autres,A,1.83405419
LP,Après 1948,AP,D1,D4,Autres,A,0.633229346
LP,Après 1948,MA,D1,D4,Autres,A,6.080831164
LP,Après 1948,AP,D2,D4,Autres,A,1.641648388
LP,Après 1948,MA,D2,D4,Autres,A,4.740705476
LP,Après 1948,AP,D3,D4,Autres,A,0.132209907
LP,Après 1948,MA,D3,D4,Autres,A,10.96841834
LP,Après 1948,AP,D4,D4,Autres,A,0.843125068
LP,Après 1948,MA,D4,D4,Autres,A,6.891448823
LP,Après 1948,AP,D5,D4,Autres,A,1.031453286
LP,Après 1948,MA,D5,D4,Autres,A,10.59353661
LP,Après 1948,AP,D6,D4,Autres,A,1.025485363
LP,Après 1948,MA,D6,D4,Autres,A,9.561243191
LP,Après 1948,AP,D7,D4,Autres,A,0.602702192
LP,Après 1948,MA,D7,D4,Autres,A,4.353520147
LP,Après 1948,AP,D8,D4,Autres,A,2.571084665
LP,Après 1948,MA,D8,D4,Autres,A,2.497130971
LP,Après 1948,AP,D9,D4,Autres,A,0.401181879
LP,Après 1948,MA,D9,D4,Autres,A,1.120604785
LP,Après 1948,AP,D10,D4,Autres,A,1.069019953
LP,Après 1948,MA,D10,D4,Autres,A,2.672167504
LP,Après 1948,AP,D1,D5,Autres,A,0.407911481
LP,Après 1948,MA,D1,D5,Autres,A,1.713689018
LP,Après 1948,AP,D2,D5,Autres,A,1.607754728
LP,Après 1948,MA,D2,D5,Autres,A,7.981744253
LP,Après 1948,AP,D3,D5,Autres,A,1.159797787
LP,Après 1948,MA,D3,D5,Autres,A,5.055293806
LP,Après 1948,AP,D4,D5,Autres,A,0.98526182
LP,Après 1948,MA,D4,D5,Autres,A,5.110379328
LP,Après 1948,AP,D5,D5,Autres,A,2.731878677
LP,Après 1948,MA,D5,D5,Autres,A,10.85334737
LP,Après 1948,AP,D6,D5,Autres,A,0.755884617
LP,Après 1948,MA,D6,D5,Autres,A,8.354441846
LP,Après 1948,AP,D7,D5,Autres,A,0.773883791
LP,Après 1948,MA,D7,D5,Autres,A,11.92230226
LP,Après 1948,AP,D8,D5,Autres,A,0.744047157
LP,Après 1948,MA,D8,D5,Autres,A,3.852408013
LP,Après 1948,AP,D9,D5,Autres,A,0.559915157
LP,Après 1948,MA,D9,D5,Autres,A,1.230689807
LP,Après 1948,AP,D10,D5,Autres,A,0.227826111
LP,Après 1948,MA,D10,D5,Autres,A,4.06621589
LP,Après 1948,AP,D1,D6,Autres,A,1.17543138
LP,Après 1948,MA,D1,D6,Autres,A,7.226637141
LP,Après 1948,AP,D2,D6,Autres,A,5.83208684
LP,Après 1948,MA,D2,D6,Autres,A,4.181863678
LP,Après 1948,AP,D3,D6,Autres,A,1.315362493
LP,Après 1948,MA,D3,D6,Autres,A,5.805842999
LP,Après 1948,AP,D4,D6,Autres,A,1.792962732
LP,Après 1948,MA,D4,D6,Autres,A,4.410720215
LP,Après 1948,AP,D5,D6,Autres,A,1.192612499
LP,Après 1948,MA,D5,D6,Autres,A,3.822347508
LP,Après 1948,AP,D6,D6,Autres,A,1.934011943
LP,Après 1948,MA,D6,D6,Autres,A,8.931305795
LP,Après 1948,AP,D7,D6,Autres,A,1.389901607
LP,Après 1948,MA,D7,D6,Autres,A,5.489796232
LP,Après 1948,AP,D8,D6,Autres,A,0.520408996
LP,Après 1948,MA,D8,D6,Autres,A,11.58364815
LP,Après 1948,AP,D9,D6,Autres,A,1.4247717
LP,Après 1948,MA,D9,D6,Autres,A,9.614304507
LP,Après 1948,AP,D10,D6,Autres,A,0.396501607
LP,Après 1948,MA,D10,D6,Autres,A,7.999617005
LP,Après 1948,AP,D1,D7,Autres,A,1.646375886
LP,Après 1948,MA,D1,D7,Autres,A,8.928378812
LP,Après 1948,AP,D2,D7,Autres,A,1.973891365
LP,Après 1948,MA,D2,D7,Autres,A,11.82261176
LP,Après 1948,AP,D3,D7,Autres,A,2.469666297
LP,Après 1948,MA,D3,D7,Autres,A,6.007453147
LP,Après 1948,AP,D4,D7,Autres,A,1.674003892
LP,Après 1948,MA,D4,D7,Autres,A,12.42426111
LP,Après 1948,AP,D5,D7,Autres,A,2.165821914
LP,Après 1948,MA,D5,D7,Autres,A,9.5406212
LP,Après 1948,AP,D6,D7,Autres,A,3.280440579
LP,Après 1948,MA,D6,D7,Autres,A,16.90794412
LP,Après 1948,AP,D7,D7,Autres,A,2.694404206
LP,Après 1948,MA,D7,D7,Autres,A,10.44223277
LP,Après 1948,AP,D8,D7,Autres,A,3.737486392
LP,Après 1948,MA,D8,D7,Autres,A,15.01609842
LP,Après 1948,AP,D9,D7,Autres,A,4.048585131
LP,Après 1948,MA,D9,D7,Autres,A,9.114098607
LP,Après 1948,AP,D10,D7,Autres,A,1.582664679
LP,Après 1948,MA,D10,D7,Autres,A,4.096841816
LP,Après 1948,AP,D1,D8,Autres,A,3.964597561
LP,Après 1948,MA,D1,D8,Autres,A,4.980926326
LP,Après 1948,AP,D2,D8,Autres,A,4.114188242
LP,Après 1948,MA,D2,D8,Autres,A,9.805174994
LP,Après 1948,AP,D3,D8,Autres,A,5.046510943
LP,Après 1948,MA,D3,D8,Autres,A,15.13936945
LP,Après 1948,AP,D4,D8,Autres,A,3.882253015
LP,Après 1948,MA,D4,D8,Autres,A,10.48637428
LP,Après 1948,AP,D5,D8,Autres,A,2.382243004
LP,Après 1948,MA,D5,D8,Autres,A,17.68974711
LP,Après 1948,AP,D6,D8,Autres,A,3.026500677
LP,Après 1948,MA,D6,D8,Autres,A,15.86280028
LP,Après 1948,AP,D7,D8,Autres,A,4.390679903
LP,Après 1948,MA,D7,D8,Autres,A,18.62856294
LP,Après 1948,AP,D8,D8,Autres,A,3.980351001
LP,Après 1948,MA,D8,D8,Autres,A,8.688879014
LP,Après 1948,AP,D9,D8,Autres,A,2.566170552
LP,Après 1948,MA,D9,D8,Autres,A,6.669477705
LP,Après 1948,AP,D10,D8,Autres,A,1.166465541
LP,Après 1948,MA,D10,D8,Autres,A,7.278505014
LP,Après 1948,AP,D1,D9,Autres,A,4.14250477
LP,Après 1948,MA,D1,D9,Autres,A,6.411853726
LP,Après 1948,AP,D2,D9,Autres,A,11.66282078
LP,Après 1948,MA,D2,D9,Autres,A,16.24578091
LP,Après 1948,AP,D3,D9,Autres,A,6.365090971
LP,Après 1948,MA,D3,D9,Autres,A,20.30573471
LP,Après 1948,AP,D4,D9,Autres,A,5.677494248
LP,Après 1948,MA,D4,D9,Autres,A,25.30602814
LP,Après 1948,AP,D5,D9,Autres,A,7.051397907
LP,Après 1948,MA,D5,D9,Autres,A,16.79782081
LP,Après 1948,AP,D6,D9,Autres,A,6.642006949
LP,Après 1948,MA,D6,D9,Autres,A,36.47583147
LP,Après 1948,AP,D7,D9,Autres,A,9.632115637
LP,Après 1948,MA,D7,D9,Autres,A,20.56536713
LP,Après 1948,AP,D8,D9,Autres,A,7.329485145
LP,Après 1948,MA,D8,D9,Autres,A,21.56097375
LP,Après 1948,AP,D9,D9,Autres,A,7.710178894
LP,Après 1948,MA,D9,D9,Autres,A,22.27421149
LP,Après 1948,AP,D10,D9,Autres,A,3.360158886
LP,Après 1948,MA,D10,D9,Autres,A,15.34386986
LP,Après 1948,AP,D1,NC,Autres,A,65.20563053
LP,Après 1948,MA,D1,NC,Autres,A,69.11033566
LP,Après 1948,AP,D2,NC,Autres,A,52.62527837
LP,Après 1948,MA,D2,NC,Autres,A,69.00971016
LP,Après 1948,AP,D3,NC,Autres,A,37.08394393
LP,Après 1948,MA,D3,NC,Autres,A,56.69747822
LP,Après 1948,AP,D4,NC,Autres,A,30.81103751
LP,Après 1948,MA,D4,NC,Autres,A,60.77431948
LP,Après 1948,AP,D5,NC,Autres,A,33.73956567
LP,Après 1948,MA,D5,NC,Autres,A,74.24639464
LP,Après 1948,AP,D6,NC,Autres,A,29.87251061
LP,Après 1948,MA,D6,NC,Autres,A,67.53305483
LP,Après 1948,AP,D7,NC,Autres,A,34.40570658
LP,Après 1948,MA,D7,NC,Autres,A,79.08302567
LP,Après 1948,AP,D8,NC,Autres,A,34.50257815
LP,Après 1948,MA,D8,NC,Autres,A,52.1989669
LP,Après 1948,AP,D9,NC,Autres,A,28.88866748
LP,Après 1948,MA,D9,NC,Autres,A,57.54302488
LP,Après 1948,AP,D10,NC,Autres,A,39.36291111
LP,Après 1948,MA,D10,NC,Autres,A,60.92724912
LP,Après 1948,AP,D1,D1,Electricité,A,34.50802232
LP,Après 1948,MA,D1,D1,Electricité,A,101.3101819
LP,Après 1948,AP,D2,D1,Electricité,A,50.50177719
LP,Après 1948,MA,D2,D1,Electricité,A,181.7068355
LP,Après 1948,AP,D3,D1,Electricité,A,52.6947616
LP,Après 1948,MA,D3,D1,Electricité,A,117.3573405
LP,Après 1948,AP,D4,D1,Electricité,A,35.73908953
LP,Après 1948,MA,D4,D1,Electricité,A,3.581470416
LP,Après 1948,AP,D5,D1,Electricité,A,73.54443827
LP,Après 1948,MA,D5,D1,Electricité,A,69.28529386
LP,Après 1948,AP,D6,D1,Electricité,A,17.25448247
LP,Après 1948,MA,D6,D1,Electricité,A,62.08817491
LP,Après 1948,AP,D7,D1,Electricité,A,42.03458769
LP,Après 1948,MA,D7,D1,Electricité,A,43.22779162
LP,Après 1948,AP,D8,D1,Electricité,A,42.87342672
LP,Après 1948,MA,D8,D1,Electricité,A,33.88671025
LP,Après 1948,AP,D9,D1,Electricité,A,47.3399644
LP,Après 1948,MA,D9,D1,Electricité,A,65.56993526
LP,Après 1948,AP,D10,D1,Electricité,A,11.8750625
LP,Après 1948,MA,D10,D1,Electricité,A,5.584449181
LP,Après 1948,AP,D1,D10,Electricité,A,487.1393242
LP,Après 1948,MA,D1,D10,Electricité,A,154.7392696
LP,Après 1948,AP,D2,D10,Electricité,A,545.4569051
LP,Après 1948,MA,D2,D10,Electricité,A,397.1161955
LP,Après 1948,AP,D3,D10,Electricité,A,603.1336486
LP,Après 1948,MA,D3,D10,Electricité,A,669.5438215
LP,Après 1948,AP,D4,D10,Electricité,A,723.8833729
LP,Après 1948,MA,D4,D10,Electricité,A,431.8398893
LP,Après 1948,AP,D5,D10,Electricité,A,958.5680373
LP,Après 1948,MA,D5,D10,Electricité,A,448.2867893
LP,Après 1948,AP,D6,D10,Electricité,A,923.5621596
LP,Après 1948,MA,D6,D10,Electricité,A,1012.657099
LP,Après 1948,AP,D7,D10,Electricité,A,1127.270085
LP,Après 1948,MA,D7,D10,Electricité,A,940.1734031
LP,Après 1948,AP,D8,D10,Electricité,A,1213.710809
LP,Après 1948,MA,D8,D10,Electricité,A,659.1015403
LP,Après 1948,AP,D9,D10,Electricité,A,1081.847083
LP,Après 1948,MA,D9,D10,Electricité,A,747.9102796
LP,Après 1948,AP,D10,D10,Electricité,A,707.5595179
LP,Après 1948,MA,D10,D10,Electricité,A,553.6077151
LP,Après 1948,AP,D1,D2,Electricité,A,33.43212767
LP,Après 1948,MA,D1,D2,Electricité,A,48.93218449
LP,Après 1948,AP,D2,D2,Electricité,A,69.93284084
LP,Après 1948,MA,D2,D2,Electricité,A,107.5073286
LP,Après 1948,AP,D3,D2,Electricité,A,53.82828122
LP,Après 1948,MA,D3,D2,Electricité,A,39.42910134
LP,Après 1948,AP,D4,D2,Electricité,A,55.7554214
LP,Après 1948,MA,D4,D2,Electricité,A,104.3778743
LP,Après 1948,AP,D5,D2,Electricité,A,7.808845456
LP,Après 1948,MA,D5,D2,Electricité,A,133.7750883
LP,Après 1948,AP,D6,D2,Electricité,A,7.662722947
LP,Après 1948,MA,D6,D2,Electricité,A,100.5978716
LP,Après 1948,AP,D7,D2,Electricité,A,15.13509452
LP,Après 1948,MA,D7,D2,Electricité,A,24.47020851
LP,Après 1948,AP,D8,D2,Electricité,A,18.33235565
LP,Après 1948,MA,D8,D2,Electricité,A,66.4297119
LP,Après 1948,AP,D9,D2,Electricité,A,21.11491206
LP,Après 1948,MA,D9,D2,Electricité,A,92.97486566
LP,Après 1948,AP,D10,D2,Electricité,A,6.210275573
LP,Après 1948,MA,D10,D2,Electricité,A,48.75170646
LP,Après 1948,AP,D1,D3,Electricité,A,64.26189311
LP,Après 1948,MA,D1,D3,Electricité,A,85.31929272
LP,Après 1948,AP,D2,D3,Electricité,A,86.78780734
LP,Après 1948,MA,D2,D3,Electricité,A,42.47438587
LP,Après 1948,AP,D3,D3,Electricité,A,56.06726137
LP,Après 1948,MA,D3,D3,Electricité,A,222.1060259
LP,Après 1948,AP,D4,D3,Electricité,A,65.96593019
LP,Après 1948,MA,D4,D3,Electricité,A,223.9808369
LP,Après 1948,AP,D5,D3,Electricité,A,36.11569189
LP,Après 1948,MA,D5,D3,Electricité,A,213.2436548
LP,Après 1948,AP,D6,D3,Electricité,A,33.52207193
LP,Après 1948,MA,D6,D3,Electricité,A,119.5331508
LP,Après 1948,AP,D7,D3,Electricité,A,14.47356253
LP,Après 1948,MA,D7,D3,Electricité,A,3.453221782
LP,Après 1948,AP,D8,D3,Electricité,A,36.55560495
LP,Après 1948,MA,D8,D3,Electricité,A,40.36828485
LP,Après 1948,AP,D9,D3,Electricité,A,21.20284374
LP,Après 1948,MA,D9,D3,Electricité,A,99.58841337
LP,Après 1948,AP,D10,D3,Electricité,A,11.77692181
LP,Après 1948,MA,D10,D3,Electricité,A,10.02542579
LP,Après 1948,AP,D1,D4,Electricité,A,16.47465003
LP,Après 1948,MA,D1,D4,Electricité,A,114.0611542
LP,Après 1948,AP,D2,D4,Electricité,A,71.64126303
LP,Après 1948,MA,D2,D4,Electricité,A,86.22762192
LP,Après 1948,AP,D3,D4,Electricité,A,11.03892787
LP,Après 1948,MA,D3,D4,Electricité,A,152.8252952
LP,Après 1948,AP,D4,D4,Electricité,A,69.54772888
LP,Après 1948,MA,D4,D4,Electricité,A,230.5027756
LP,Après 1948,AP,D5,D4,Electricité,A,48.93935216
LP,Après 1948,MA,D5,D4,Electricité,A,210.695691
LP,Après 1948,AP,D6,D4,Electricité,A,64.14539211
LP,Après 1948,MA,D6,D4,Electricité,A,181.230287
LP,Après 1948,AP,D7,D4,Electricité,A,20.49324169
LP,Après 1948,MA,D7,D4,Electricité,A,103.6680053
LP,Après 1948,AP,D8,D4,Electricité,A,28.58860944
LP,Après 1948,MA,D8,D4,Electricité,A,14.92173136
LP,Après 1948,AP,D9,D4,Electricité,A,38.0129669
LP,Après 1948,MA,D9,D4,Electricité,A,45.35565866
LP,Après 1948,AP,D10,D4,Electricité,A,37.42033952
LP,Après 1948,MA,D10,D4,Electricité,A,69.9921288
LP,Après 1948,AP,D1,D5,Electricité,A,81.96284318
LP,Après 1948,MA,D1,D5,Electricité,A,73.44346219
LP,Après 1948,AP,D2,D5,Electricité,A,145.9535273
LP,Après 1948,MA,D2,D5,Electricité,A,134.2487253
LP,Après 1948,AP,D3,D5,Electricité,A,61.37075586
LP,Après 1948,MA,D3,D5,Electricité,A,126.2248803
LP,Après 1948,AP,D4,D5,Electricité,A,72.69772144
LP,Après 1948,MA,D4,D5,Electricité,A,140.2680135
LP,Après 1948,AP,D5,D5,Electricité,A,122.9349835
LP,Après 1948,MA,D5,D5,Electricité,A,290.3880642
LP,Après 1948,AP,D6,D5,Electricité,A,57.23997489
LP,Après 1948,MA,D6,D5,Electricité,A,140.1041428
LP,Après 1948,AP,D7,D5,Electricité,A,91.48985069
LP,Après 1948,MA,D7,D5,Electricité,A,279.9922832
LP,Après 1948,AP,D8,D5,Electricité,A,53.12298408
LP,Après 1948,MA,D8,D5,Electricité,A,124.3028007
LP,Après 1948,AP,D9,D5,Electricité,A,47.1868922
LP,Après 1948,MA,D9,D5,Electricité,A,44.72057569
LP,Après 1948,AP,D10,D5,Electricité,A,17.62482261
LP,Après 1948,MA,D10,D5,Electricité,A,72.45055959
LP,Après 1948,AP,D1,D6,Electricité,A,69.64813916
LP,Après 1948,MA,D1,D6,Electricité,A,93.80062446
LP,Après 1948,AP,D2,D6,Electricité,A,87.23040382
LP,Après 1948,MA,D2,D6,Electricité,A,81.96270031
LP,Après 1948,AP,D3,D6,Electricité,A,87.54131546
LP,Après 1948,MA,D3,D6,Electricité,A,107.1231203
LP,Après 1948,AP,D4,D6,Electricité,A,44.81758063
LP,Après 1948,MA,D4,D6,Electricité,A,58.13572896
LP,Après 1948,AP,D5,D6,Electricité,A,117.564804
LP,Après 1948,MA,D5,D6,Electricité,A,91.81670036
LP,Après 1948,AP,D6,D6,Electricité,A,124.4672622
LP,Après 1948,MA,D6,D6,Electricité,A,185.5603762
LP,Après 1948,AP,D7,D6,Electricité,A,120.7237573
LP,Après 1948,MA,D7,D6,Electricité,A,196.6010783
LP,Après 1948,AP,D8,D6,Electricité,A,67.22945464
LP,Après 1948,MA,D8,D6,Electricité,A,302.7754352
LP,Après 1948,AP,D9,D6,Electricité,A,33.75995752
LP,Après 1948,MA,D9,D6,Electricité,A,200.4028537
LP,Après 1948,AP,D10,D6,Electricité,A,26.24793618
LP,Après 1948,MA,D10,D6,Electricité,A,145.0166524
LP,Après 1948,AP,D1,D7,Electricité,A,95.47730535
LP,Après 1948,MA,D1,D7,Electricité,A,222.8929922
LP,Après 1948,AP,D2,D7,Electricité,A,90.40342701
LP,Après 1948,MA,D2,D7,Electricité,A,268.1095704
LP,Après 1948,AP,D3,D7,Electricité,A,207.9662416
LP,Après 1948,MA,D3,D7,Electricité,A,178.5177863
LP,Après 1948,AP,D4,D7,Electricité,A,176.6934214
LP,Après 1948,MA,D4,D7,Electricité,A,209.0297759
LP,Après 1948,AP,D5,D7,Electricité,A,169.4406089
LP,Après 1948,MA,D5,D7,Electricité,A,189.0076651
LP,Après 1948,AP,D6,D7,Electricité,A,217.1959881
LP,Après 1948,MA,D6,D7,Electricité,A,315.6625995
LP,Après 1948,AP,D7,D7,Electricité,A,205.4779495
LP,Après 1948,MA,D7,D7,Electricité,A,193.052442
LP,Après 1948,AP,D8,D7,Electricité,A,185.7403337
LP,Après 1948,MA,D8,D7,Electricité,A,208.3298275
LP,Après 1948,AP,D9,D7,Electricité,A,205.6012352
LP,Après 1948,MA,D9,D7,Electricité,A,251.2629015
LP,Après 1948,AP,D10,D7,Electricité,A,54.32439593
LP,Après 1948,MA,D10,D7,Electricité,A,73.87533961
LP,Après 1948,AP,D1,D8,Electricité,A,138.8734824
LP,Après 1948,MA,D1,D8,Electricité,A,77.24428935
LP,Après 1948,AP,D2,D8,Electricité,A,249.6994289
LP,Après 1948,MA,D2,D8,Electricité,A,230.051935
LP,Après 1948,AP,D3,D8,Electricité,A,295.5714225
LP,Après 1948,MA,D3,D8,Electricité,A,261.1162548
LP,Après 1948,AP,D4,D8,Electricité,A,363.351391
LP,Après 1948,MA,D4,D8,Electricité,A,293.38416
LP,Après 1948,AP,D5,D8,Electricité,A,284.5394906
LP,Après 1948,MA,D5,D8,Electricité,A,372.0992861
LP,Après 1948,AP,D6,D8,Electricité,A,212.8874769
LP,Après 1948,MA,D6,D8,Electricité,A,386.3380797
LP,Après 1948,AP,D7,D8,Electricité,A,269.5597879
LP,Après 1948,MA,D7,D8,Electricité,A,460.2800598
LP,Après 1948,AP,D8,D8,Electricité,A,213.3119702
LP,Après 1948,MA,D8,D8,Electricité,A,324.8071936
LP,Après 1948,AP,D9,D8,Electricité,A,200.1158836
LP,Après 1948,MA,D9,D8,Electricité,A,188.3394685
LP,Après 1948,AP,D10,D8,Electricité,A,101.6808453
LP,Après 1948,MA,D10,D8,Electricité,A,163.2532942
LP,Après 1948,AP,D1,D9,Electricité,A,295.7722541
LP,Après 1948,MA,D1,D9,Electricité,A,185.9477622
LP,Après 1948,AP,D2,D9,Electricité,A,361.7110565
LP,Après 1948,MA,D2,D9,Electricité,A,303.0344529
LP,Après 1948,AP,D3,D9,Electricité,A,280.5009834
LP,Après 1948,MA,D3,D9,Electricité,A,495.3502231
LP,Après 1948,AP,D4,D9,Electricité,A,358.0507146
LP,Après 1948,MA,D4,D9,Electricité,A,472.8424238
LP,Après 1948,AP,D5,D9,Electricité,A,438.0755414
LP,Après 1948,MA,D5,D9,Electricité,A,519.4204162
LP,Après 1948,AP,D6,D9,Electricité,A,576.8060873
LP,Après 1948,MA,D6,D9,Electricité,A,894.7952371
LP,Après 1948,AP,D7,D9,Electricité,A,508.7296475
LP,Après 1948,MA,D7,D9,Electricité,A,547.5920813
LP,Après 1948,AP,D8,D9,Electricité,A,501.2968654
LP,Après 1948,MA,D8,D9,Electricité,A,478.0260248
LP,Après 1948,AP,D9,D9,Electricité,A,406.7597683
LP,Après 1948,MA,D9,D9,Electricité,A,522.7278457
LP,Après 1948,AP,D10,D9,Electricité,A,191.6023836
LP,Après 1948,MA,D10,D9,Electricité,A,349.8252272
LP,Après 1948,AP,D1,NC,Electricité,A,2372.130043
LP,Après 1948,MA,D1,NC,Electricité,A,1297.751591
LP,Après 1948,AP,D2,NC,Electricité,A,1778.734758
LP,Après 1948,MA,D2,NC,Electricité,A,1856.727986
LP,Après 1948,AP,D3,NC,Electricité,A,1721.253917
LP,Après 1948,MA,D3,NC,Electricité,A,1490.56835
LP,Après 1948,AP,D4,NC,Electricité,A,1804.815866
LP,Après 1948,MA,D4,NC,Electricité,A,1322.886357
LP,Après 1948,AP,D5,NC,Electricité,A,1705.502255
LP,Après 1948,MA,D5,NC,Electricité,A,1718.383643
LP,Après 1948,AP,D6,NC,Electricité,A,1666.376245
LP,Après 1948,MA,D6,NC,Electricité,A,1697.231107
LP,Après 1948,AP,D7,NC,Electricité,A,1642.594775
LP,Après 1948,MA,D7,NC,Electricité,A,1980.720486
LP,Après 1948,AP,D8,NC,Electricité,A,1229.139601
LP,Après 1948,MA,D8,NC,Electricité,A,1394.182213
LP,Après 1948,AP,D9,NC,Electricité,A,1418.396496
LP,Après 1948,MA,D9,NC,Electricité,A,1483.223143
LP,Après 1948,AP,D10,NC,Electricité,A,1325.633636
LP,Après 1948,MA,D10,NC,Electricité,A,1221.902633
LP,Après 1948,AP,D1,D1,Gaz,A,23.96498766
LP,Après 1948,MA,D1,D1,Gaz,A,23.52694558
LP,Après 1948,AP,D2,D1,Gaz,A,21.94158019
LP,Après 1948,MA,D2,D1,Gaz,A,31.02656663
LP,Après 1948,AP,D3,D1,Gaz,A,46.39957162
LP,Après 1948,MA,D3,D1,Gaz,A,16.99575565
LP,Après 1948,AP,D4,D1,Gaz,A,26.25634778
LP,Après 1948,MA,D4,D1,Gaz,A,3.145274677
LP,Après 1948,AP,D5,D1,Gaz,A,34.065797
LP,Après 1948,MA,D5,D1,Gaz,A,13.93661035
LP,Après 1948,AP,D6,D1,Gaz,A,26.35134191
LP,Après 1948,MA,D6,D1,Gaz,A,8.686394103
LP,Après 1948,AP,D7,D1,Gaz,A,33.78605045
LP,Après 1948,MA,D7,D1,Gaz,A,10.86382093
LP,Après 1948,AP,D8,D1,Gaz,A,21.13632214
