OCC,DATECONST,NATLOC,DECILE,DECILE_PB,ENERGIE,ETIQUETTE,NB_LOG
LP,Après 1948,AP,D1,D1,Autres,A,1.474775438
LP,Après 1948,MA,D1,D1,Autres,A,9.67395424
LP,Après 1948,AP,D2,D1,Autres,A,0.952758975
LP,Après 1948,MA,D2,D1,Autres,A,9.70361465
LP,Après 1948,AP,D3,D1,Autres,A,0.334222018
LP,Après 1948,MA,D3,D1,Autres,A,3.769539341
LP,Après 1948,AP,D4,D1,Autres,A,0.459475769
LP,Après 1948,MA,D4,D1,Autres,A,1.081126184
LP,Après 1948,AP,D5,D1,Autres,A,1.88474982
LP,Après 1948,MA,D5,D1,Autres,A,3.332066897
LP,Après 1948,AP,D6,D1,Autres,A,0.442063493
LP,Après 1948,MA,D6,D1,Autres,A,2.263572906
LP,Après 1948,AP,D7,D1,Autres,A,2.695424636
LP,Après 1948,MA,D7,D1,Autres,A,1.768598559
LP,Après 1948,AP,D8,D1,Autres,A,0.566560113
LP,Après 1948,MA,D8,D1,Autres,A,1.086778141
LP,Après 1948,AP,D9,D1,Autres,A,0.671204196
LP,Après 1948,MA,D9,D1,Autres,A,2.945459112
LP,Après 1948,AP,D10,D1,Autres,A,0.807517457
LP,Après 1948,MA,D10,D1,Autres,A,0.695467215
LP,Après 1948,AP,D1,D10,Autres,A,9.663155846
LP,Après 1948,MA,D1,D10,Autres,A,8.86559054
LP,Après 1948,AP,D2,D10,Autres,A,12.01511119
LP,Après 1948,MA,D2,D10,Autres,A,14.68415013
LP,Après 1948,AP,D3,D10,Autres,A,13.59473684
LP,Après 1948,MA,D3,D10,Autres,A,25.53149045
LP,Après 1948,AP,D4,D10,Autres,A,13.10177814
LP,Après 1948,MA,D4,D10,Autres,A,19.00176429
LP,Après 1948,AP,D5,D10,Autres,A,16.69873159
LP,Après 1948,MA,D5,D10,Autres,A,24.36562613
LP,Après 1948,AP,D6,D10,Autres,A,20.19578608
LP,Après 1948,MA,D6,D10,Autres,A,32.35779933
LP,Après 1948,AP,D7,D10,Autres,A,16.97661699
LP,Après 1948,MA,D7,D10,Autres,A,37.16078762
