NATLOC,OCC,DECILE,ENERGIE,ETIQUETTE,NB_LOG
MA,P,D6,Gaz,A,3790.562732
AP,G,D7,Gaz,A,80.66091903
MA,G,D7,Gaz,A,170.6187079
AP,LP,D7,Gaz,A,3843.664036
MA,LP,D7,Gaz,A,879.001935
AP,LS,D7,Gaz,A,3922.887443
MA,LS,D7,Gaz,A,621.5954535
AP,P,D7,Gaz,A,3171.057168
MA,P,D7,Gaz,A,4241.338567
AP,G,D8,Gaz,A,125.0699064
MA,G,D8,Gaz,A,132.1256517
AP,LP,D8,Gaz,A,3523.043417
MA,LP,D8,Gaz,A,708.5641952
AP,LS,D8,Gaz,A,2271.410205
MA,LS,D8,Gaz,A,311.7348546
AP,P,D8,Gaz,A,3969.674961
MA,P,D8,Gaz,A,4368.688989
AP,G,D9,Gaz,A,115.7505428
MA,G,D9,Gaz,A,106.4890756
AP,LP,D9,Gaz,A,3112.733751
MA,LP,D9,Gaz,A,711.0747899
AP,LS,D9,Gaz,A,1518.006036
MA,LS,D9,Gaz,A,196.107609
AP,P,D9,Gaz,A,4353.644326
MA,P,D9,Gaz,A,4550.627304
AP,G,D10,Gaz,A,125.4501165
MA,G,D10,Gaz,A,77.53751085
AP,LP,D10,Gaz,A,2395.279854
MA,LP,D10,Gaz,A,535.4610517
AP,LS,D10,Gaz,A,477.9737481
MA,LS,D10,Gaz,A,149.659449
AP,P,D10,Gaz,A,4782.890366
MA,P,D10,Gaz,A,4262.337933
AP,G,D1,Autres,B,54.19765918
MA,G,D1,Autres,B,89.42088861
AP,LP,D1,Autres,B,1797.123441
MA,LP,D1,Autres,B,834.9440757
AP,LS,D1,Autres,B,6812.085283
MA,LS,D1,Autres,B,421.3556361
AP,P,D1,Autres,B,373.8945261
MA,P,D1,Autres,B,4480.124436
AP,G,D2,Autres,B,85.60134706
MA,G,D2,Autres,B,101.9645469
AP,LP,D2,Autres,B,1714.746927
MA,LP,D2,Autres,B,1073.536772
AP,LS,D2,Autres,B,7383.485697
MA,LS,D2,Autres,B,583.8828542
AP,P,D2,Autres,B,646.7923101
MA,P,D2,Autres,B,7180.964813
AP,G,D3,Autres,B,56.01831484
MA,G,D3,Autres,B,170.7897073
AP,LP,D3,Autres,B,1505.459721
MA,LP,D3,Autres,B,1083.321095
AP,LS,D3,Autres,B,5352.021019
MA,LS,D3,Autres,B,511.9133786
AP,P,D3,Autres,B,836.7133151
MA,P,D3,Autres,B,10126.89622
AP,G,D4,Autres,B,79.12299645
MA,G,D4,Autres,B,123.576019
AP,LP,D4,Autres,B,1584.786498
MA,LP,D4,Autres,B,1123.600364
AP,LS,D4,Autres,B,4647.737609
MA,LS,D4,Autres,B,410.0793344
AP,P,D4,Autres,B,965.0775005
MA,P,D4,Autres,B,12843.32602
AP,G,D5,Autres,B,82.16333716
MA,G,D5,Autres,B,89.87871119
AP,LP,D5,Autres,B,1662.147354
MA,LP,D5,Autres,B,1198.371581
AP,LS,D5,Autres,B,3732.077268
MA,LS,D5,Autres,B,329.8029789
AP,P,D5,Autres,B,1143.877961
MA,P,D5,Autres,B,16319.24507
AP,G,D6,Autres,B,99.889699
MA,G,D6,Autres,B,189.0477936
AP,LP,D6,Autres,B,1761.043275
MA,LP,D6,Autres,B,1279.816374
AP,LS,D6,Autres,B,2921.777383
MA,LS,D6,Autres,B,177.9255635
AP,P,D6,Autres,B,1586.712708
MA,P,D6,Autres,B,18148.26928
AP,G,D7,Autres,B,85.91862886
MA,G,D7,Autres,B,150.0251332
AP,LP,D7,Autres,B,1867.960607
MA,LP,D7,Autres,B,1289.84772
AP,LS,D7,Autres,B,2378.998606
MA,LS,D7,Autres,B,155.2499302
AP,P,D7,Autres,B,1778.561031
MA,P,D7,Autres,B,19977.73563
AP,G,D8,Autres,B,90.48955551
MA,G,D8,Autres,B,123.0335946
AP,LP,D8,Autres,B,1887.057839
MA,LP,D8,Autres,B,997.9854064
AP,LS,D8,Autres,B,1776.169814
MA,LS,D8,Autres,B,79.06787214
AP,P,D8,Autres,B,2344.737967
MA,P,D8,Autres,B,20091.45809
AP,G,D9,Autres,B,69.20485181
MA,G,D9,Autres,B,115.936222
AP,LP,D9,Autres,B,1855.756814
MA,LP,D9,Autres,B,1019.606995
AP,LS,D9,Autres,B,1286.027111
MA,LS,D9,Autres,B,57.39526791
AP,P,D9,Autres,B,2751.918027
MA,P,D9,Autres,B,20313.18649
AP,G,D10,Autres,B,86.49596634
MA,G,D10,Autres,B,89.68671142
AP,LP,D10,Autres,B,1728.164979
MA,LP,D10,Autres,B,911.4231594
AP,LS,D10,Autres,B,602.6177149
MA,LS,D10,Autres,B,35.17788329
AP,P,D10,Autres,B,3681.397336
MA,P,D10,Autres,B,19302.63521
AP,G,D1,Electricité,B,109.4369203
MA,G,D1,Electricité,B,119.5649259
AP,LP,D1,Electricité,B,8704.649457
MA,LP,D1,Electricité,B,2378.477924
AP,LS,D1,Electricité,B,8537.794089
MA,LS,D1,Electricité,B,1102.833799
AP,P,D1,Electricité,B,1070.382003
MA,P,D1,Electricité,B,4876.902058
AP,G,D2,Electricité,B,128.5169489
MA,G,D2,Electricité,B,170.2100234
AP,LP,D2,Electricité,B,8130.660587
MA,LP,D2,Electricité,B,3040.32175
AP,LS,D2,Electricité,B,8687.39592
MA,LS,D2,Electricité,B,1432.505923
AP,P,D2,Electricité,B,2073.458285
MA,P,D2,Electricité,B,7234.798862
AP,G,D3,Electricité,B,89.63041597
MA,G,D3,Electricité,B,161.0484316
AP,LP,D3,Electricité,B,7442.639509
MA,LP,D3,Electricité,B,3055.571826
AP,LS,D3,Electricité,B,6559.168796
MA,LS,D3,Electricité,B,1298.959049
AP,P,D3,Electricité,B,2712.658545
MA,P,D3,Electricité,B,9696.59001
AP,G,D4,Electricité,B,154.629608
MA,G,D4,Electricité,B,160.8318768
AP,LP,D4,Electricité,B,8627.86657
MA,LP,D4,Electricité,B,3266.845915
AP,LS,D4,Electricité,B,5652.598708
MA,LS,D4,Electricité,B,1030.00239
AP,P,D4,Electricité,B,3047.090131
MA,P,D4,Electricité,B,12358.62221
AP,G,D5,Electricité,B,167.8792222
MA,G,D5,Electricité,B,166.455049
AP,LP,D5,Electricité,B,8950.915555
MA,LP,D5,Electricité,B,3321.881016
AP,LS,D5,Electricité,B,4503.161762
MA,LS,D5,Electricité,B,800.5682444
AP,P,D5,Electricité,B,4122.505458
MA,P,D5,Electricité,B,15278.1166
AP,G,D6,Electricité,B,151.7471538
MA,G,D6,Electricité,B,195.6652863
AP,LP,D6,Electricité,B,9568.392009
MA,LP,D6,Electricité,B,3715.53562
AP,LS,D6,Electricité,B,3531.645889
MA,LS,D6,Electricité,B,488.8740095
AP,P,D6,Electricité,B,5832.536401
MA,P,D6,Electricité,B,17077.76886
AP,G,D7,Electricité,B,105.1514778
MA,G,D7,Electricité,B,146.7153251
AP,LP,D7,Electricité,B,9823.02378
MA,LP,D7,Electricité,B,3421.234443
AP,LS,D7,Electricité,B,2930.633098
MA,LS,D7,Electricité,B,387.5546809
AP,P,D7,Electricité,B,6150.007271
MA,P,D7,Electricité,B,18978.77781
AP,G,D8,Electricité,B,153.8988713
MA,G,D8,Electricité,B,156.6685181
AP,LP,D8,Electricité,B,9462.24869
MA,LP,D8,Electricité,B,2817.001323
AP,LS,D8,Electricité,B,1817.21464
MA,LS,D8,Electricité,B,215.2679527
AP,P,D8,Electricité,B,8023.978423
MA,P,D8,Electricité,B,20411.03566
AP,G,D9,Electricité,B,82.20561795
MA,G,D9,Electricité,B,158.936564
AP,LP,D9,Electricité,B,8313.543328
MA,LP,D9,Electricité,B,3088.948767
AP,LS,D9,Electricité,B,1224.899621
MA,LS,D9,Electricité,B,180.8001502
AP,P,D9,Electricité,B,8710.557403
MA,P,D9,Electricité,B,21704.38125
AP,G,D10,Electricité,B,101.2128232
MA,G,D10,Electricité,B,164.4134571
AP,LP,D10,Electricité,B,6059.417756
MA,LP,D10,Electricité,B,2830.677307
AP,LS,D10,Electricité,B,421.7470807
MA,LS,D10,Electricité,B,103.4647132
AP,P,D10,Electricité,B,9959.807533
MA,P,D10,Electricité,B,23514.48732
AP,G,D1,Gaz,B,418.3664855
MA,G,D1,Gaz,B,148.3668598
AP,LP,D1,Gaz,B,14865.51418
MA,LP,D1,Gaz,B,2164.97693
AP,LS,D1,Gaz,B,47219.68134
MA,LS,D1,Gaz,B,6789.183109
AP,P,D1,Gaz,B,3668.964694
MA,P,D1,Gaz,B,4797.2244
AP,G,D2,Gaz,B,546.4259388
MA,G,D2,Gaz,B,209.8741611
AP,LP,D2,Gaz,B,13232.66539
MA,LP,D2,Gaz,B,2945.402111
AP,LS,D2,Gaz,B,49111.98189
MA,LS,D2,Gaz,B,10009.75296
AP,P,D2,Gaz,B,5641.629243
MA,P,D2,Gaz,B,7860.443301
AP,G,D3,Gaz,B,438.3847777
MA,G,D3,Gaz,B,294.4768337
AP,LP,D3,Gaz,B,11903.81093
MA,LP,D3,Gaz,B,2806.088545
AP,LS,D3,Gaz,B,36414.02724
MA,LS,D3,Gaz,B,8006.188749
AP,P,D3,Gaz,B,7108.601746
MA,P,D3,Gaz,B,11726.42762
AP,G,D4,Gaz,B,512.6832829
