,G,F,E,D,C,B,A
G,,0.25,0.27,0.27,0.21,0,0
F,,,0.4,0.26,0.31,0.02,0
E,,,,0.66,0.28,0.06,0
D,,,,,0.95,0.05,0
C,,,,,,0.91,0.09
B,,,,,,,1
A,,,,,,,
