,Power,Natural gas,Oil fuel,Wood fuel
2012,0.129067201,0.070391011,0.091845022,0.037255264
2013,0.137438415,0.070655118,0.087134722,0.040237145
2014,0.144888236,0.067722706,0.079705304,0.04077503
2015,0.150103761,0.065611238,0.065364684,0.036937026
2016,0.151754902,0.068564201,0.071302424,0.03738027
2017,0.153424206,0.071635206,0.077718677,0.037828833
2018,0.155111872,0.075089925,0.084724114,0.038282779
2019,0.156818103,0.078592956,0.092121441,0.038742172
2020,0.158543102,0.082166021,0.099973939,0.039207078
2021,0.160287076,0.083969312,0.103092114,0.039677563
2022,0.162050234,0.08562828,0.106048231,0.040153694
2023,0.163832787,0.087219766,0.108944478,0.040635539
2024,0.165634947,0.088820613,0.111883068,0.041123165
2025,0.167456932,0.090507666,0.114966243,0.041616643
2026,0.169298958,0.09236807,0.117813544,0.042116043
2027,0.171161247,0.094287221,0.120749352,0.042621435
2028,0.17304402,0.096159514,0.123634678,0.043132892
2029,0.174947505,0.097879345,0.126330546,0.043650487
2030,0.176871927,0.099341116,0.12869799,0.044174293
2031,0.178817518,0.100010684,0.129371722,0.044704384
2032,0.180784511,0.100688874,0.130051174,0.045240837
2033,0.182773141,0.101375797,0.130736395,0.045783727
2034,0.184783645,0.102071568,0.131427433,0.046333132
2035,0.186816265,0.102776299,0.132124338,0.046889129
2036,0.188871244,0.103175403,0.133075158,0.047451799
2037,0.190948828,0.103577434,0.134036898,0.048021221
2038,0.193049265,0.103982415,0.135009685,0.048597475
2039,0.195172807,0.104390368,0.135993645,0.049180645
2040,0.197319708,0.104801316,0.136988907,0.049770813
2041,0.199490225,0.105085481,0.137387958,0.050368062
2042,0.201684617,0.105371295,0.137788827,0.050972479
2043,0.203903148,0.105658768,0.13819152,0.051584149
2044,0.206146082,0.105947913,0.138596047,0.052203159
2045,0.208413689,0.106238742,0.139002415,0.052829597
2046,0.21070624,0.106482024,0.13941318,0.053463552
2047,0.213024009,0.106726662,0.139825827,0.054105114
2048,0.215367273,0.106972667,0.140240364,0.054754376
2049,0.217736313,0.107220049,0.1406568,0.055411428
2050,0.220131412,0.107468819,0.141075145,0.056076365
2051,0.222552858,0.107718987,0.141495405,0.056749282
2052,0.225000939,0.107970564,0.141917591,0.057430273
2053,0.227475949,0.10822356,0.142341712,0.058119436
2054,0.229978185,0.108477987,0.142767775,0.05881687
2055,0.232507945,0.108733854,0.14319579,0.059522672
2056,0.235065532,0.108991174,0.143625767,0.060236944
2057,0.237651253,0.109249958,0.144057713,0.060959788
2058,0.240265417,0.109510216,0.144491637,0.061691305
2059,0.242908336,0.10977196,0.14492755,0.062431601
2060,0.245580328,0.110035201,0.14536546,0.06318078
