Income class owner,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
C1,0.008,0.008,0.008,0.008,0.008,0.01,0.03,0.0306,0.031212,0.03183624,0.032472965,0.033122424,0.033784873,0.03446057,0.035149781,0.035852777,0.036569833,0.037301229,0.038047254,0.038808199,0.039584363,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
C2,0.004,0.004,0.004,0.004,0.004,0.005,0.015,0.0153,0.015606,0.01591812,0.016236482,0.016561212,0.016892436,0.017230285,0.017574891,0.017926389,0.018284916,0.018650615,0.019023627,0.019404099,0.019792181,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C3,0.004,0.004,0.004,0.004,0.004,0.005,0.015,0.0153,0.015606,0.01591812,0.016236482,0.016561212,0.016892436,0.017230285,0.017574891,0.017926389,0.018284916,0.018650615,0.019023627,0.019404099,0.019792181,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C4,0.004,0.004,0.004,0.004,0.004,0.005,0.015,0.0153,0.015606,0.01591812,0.016236482,0.016561212,0.016892436,0.017230285,0.017574891,0.017926389,0.018284916,0.018650615,0.019023627,0.019404099,0.019792181,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C5,0.004,0.004,0.004,0.004,0.004,0.005,0.015,0.0153,0.015606,0.01591812,0.016236482,0.016561212,0.016892436,0.017230285,0.017574891,0.017926389,0.018284916,0.018650615,0.019023627,0.019404099,0.019792181,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
