,Power,Natural gas,Oil fuel,Wood fuel
2018,0.1714,0.082,0.0931,0.0615
2019,0.1779,0.082614286,0.094928571,0.0615
2020,0.1797,0.083228571,0.096757143,0.0622
2021,0.18152,0.083842857,0.098585714,0.06298
2022,0.18334,0.084457143,0.100414286,0.06376
2023,0.18516,0.085071429,0.102242857,0.06454
2024,0.18698,0.085685714,0.104071429,0.06532
2025,0.1888,0.0863,0.1059,0.0661
2026,0.19078,0.08672,0.1084,0.0669
2027,0.19276,0.08714,0.1109,0.0677
2028,0.19474,0.08756,0.1134,0.0685
2029,0.19672,0.08798,0.1159,0.0693
2030,0.1987,0.0884,0.1184,0.0701
2031,0.20084,0.08976,0.11968,0.07096
2032,0.20298,0.09112,0.12096,0.07182
2033,0.20512,0.09248,0.12224,0.07268
2034,0.20726,0.09384,0.12352,0.07354
2035,0.2094,0.0952,0.1248,0.0744
2036,0.21174,0.09728,0.12608,0.07532
2037,0.21408,0.09936,0.12736,0.07624
2038,0.21642,0.10144,0.12864,0.07716
2039,0.21876,0.10352,0.12992,0.07808
2040,0.2211,0.1056,0.1312,0.079
2041,0.22364,0.10524,0.13252,0.07996
2042,0.22618,0.10488,0.13384,0.08092
2043,0.22872,0.10452,0.13516,0.08188
2044,0.23126,0.10416,0.13648,0.08284
2045,0.2338,0.1038,0.1378,0.0838
2046,0.23656,0.10428,0.14052,0.08484
2047,0.23932,0.10476,0.14324,0.08588
2048,0.24208,0.10524,0.14596,0.08692
2049,0.24484,0.10572,0.14868,0.08796
2050,0.2476,0.1062,0.1514,0.089
