Housing type,Occupancy status,Income class,Heating energy,Energy performance,Income class owner,Stock buildings
Multi-family,Landlords,D3,Power,B,D2,222.52439615043434
Multi-family,Landlords,D3,Power,B,D3,243.7213453584861
Multi-family,Landlords,D3,Power,B,D4,59.76081307704662
Multi-family,Landlords,D3,Power,B,D5,139.9668442150047
Multi-family,Landlords,D3,Power,B,D6,401.8348631581008
Multi-family,Landlords,D3,Power,B,D7,884.3440311347582
Multi-family,Landlords,D3,Power,B,D8,861.3993166972763
Multi-family,Landlords,D3,Power,B,D9,1474.5173955929113
Single-family,Landlords,D3,Power,B,D1,146.90413978558323
Single-family,Landlords,D3,Power,B,D10,1021.1680905652146
Single-family,Landlords,D3,Power,B,D2,121.76868250395349
Single-family,Landlords,D3,Power,B,D3,283.73922372957526
Single-family,Landlords,D3,Power,B,D4,109.46678999571884
Single-family,Landlords,D3,Power,B,D5,145.3406610861905
Single-family,Landlords,D3,Power,B,D6,145.6927577021624
Single-family,Landlords,D3,Power,B,D7,314.14543379427477
Single-family,Landlords,D3,Power,B,D8,281.7418820269538
Single-family,Landlords,D3,Power,B,D9,485.60416481037316
Multi-family,Landlords,D4,Power,B,D1,168.66908607808108
Multi-family,Landlords,D4,Power,B,D10,3225.7910570065133
Multi-family,Landlords,D4,Power,B,D2,219.2962362233346
Multi-family,Landlords,D4,Power,B,D3,214.28791126557417
Multi-family,Landlords,D4,Power,B,D4,302.2556511131897
Multi-family,Landlords,D4,Power,B,D5,240.81252790990607
Multi-family,Landlords,D4,Power,B,D6,304.249155716301
Multi-family,Landlords,D4,Power,B,D7,583.8603166593786
Multi-family,Landlords,D4,Power,B,D8,1591.3290403287021
Multi-family,Landlords,D4,Power,B,D9,1777.3155876990193
Single-family,Landlords,D4,Power,B,D1,49.34334590380173
Single-family,Landlords,D4,Power,B,D10,791.8208584791236
Single-family,Landlords,D4,Power,B,D2,127.08739418322088
Single-family,Landlords,D4,Power,B,D3,249.5087799006504
Single-family,Landlords,D4,Power,B,D4,196.4149373898991
Single-family,Landlords,D4,Power,B,D5,150.20032505586298
Single-family,Landlords,D4,Power,B,D6,131.2669315935407
Single-family,Landlords,D4,Power,B,D7,307.8009307548459
Single-family,Landlords,D4,Power,B,D8,562.151588038351
Single-family,Landlords,D4,Power,B,D9,701.2508237007037
Multi-family,Landlords,D5,Power,B,D1,210.64722611646485
Multi-family,Landlords,D5,Power,B,D10,3749.5169954320836
Multi-family,Landlords,D5,Power,B,D2,88.90600398495496
Multi-family,Landlords,D5,Power,B,D3,138.57908579902917
Multi-family,Landlords,D5,Power,B,D4,216.1981743104556
Multi-family,Landlords,D5,Power,B,D5,434.8373880350571
Multi-family,Landlords,D5,Power,B,D6,408.5558842574468
Multi-family,Landlords,D5,Power,B,D7,618.4109490989281
Multi-family,Landlords,D5,Power,B,D8,1336.4097226461854
Multi-family,Landlords,D5,Power,B,D9,1748.8541253193946
Single-family,Landlords,D5,Power,B,D1,151.38456921088937
Single-family,Landlords,D5,Power,B,D10,788.7559487197998
Single-family,Landlords,D5,Power,B,D2,162.69108713541195
Single-family,Landlords,D5,Power,B,D3,141.0401773351549
Single-family,Landlords,D5,Power,B,D4,330.5186002224539
Single-family,Landlords,D5,Power,B,D5,307.65860992586397
Single-family,Landlords,D5,Power,B,D6,212.7083460500357
Single-family,Landlords,D5,Power,B,D7,293.370669184602
Single-family,Landlords,D5,Power,B,D8,537.660507266642
Single-family,Landlords,D5,Power,B,D9,396.0925009491465
Multi-family,Landlords,D6,Power,B,D1,158.7238575010522
Multi-family,Landlords,D6,Power,B,D10,3990.387647380465
Multi-family,Landlords,D6,Power,B,D2,62.94958198572525
Multi-family,Landlords,D6,Power,B,D3,191.28508339597667
Multi-family,Landlords,D6,Power,B,D4,199.48200679202176
Multi-family,Landlords,D6,Power,B,D5,196.55621848635764
Multi-family,Landlords,D6,Power,B,D6,490.46113988806985
Multi-family,Landlords,D6,Power,B,D7,946.6526557122163
Multi-family,Landlords,D6,Power,B,D8,1092.2381040742068
Multi-family,Landlords,D6,Power,B,D9,2239.6557137839077
Single-family,Landlords,D6,Power,B,D1,75.35871667209098
Single-family,Landlords,D6,Power,B,D10,1095.8827988178875
Single-family,Landlords,D6,Power,B,D2,78.94694246821753
Single-family,Landlords,D6,Power,B,D3,130.19278893919585
Single-family,Landlords,D6,Power,B,D4,381.3126351394863
Single-family,Landlords,D6,Power,B,D5,247.90646787106326
Single-family,Landlords,D6,Power,B,D6,293.70839194042435
Single-family,Landlords,D6,Power,B,D7,340.5128851416033
Single-family,Landlords,D6,Power,B,D8,316.55217467879663
Single-family,Landlords,D6,Power,B,D9,755.1618183312346
Multi-family,Landlords,D7,Power,B,D1,104.82018476632581
Multi-family,Landlords,D7,Power,B,D10,4502.445336219958
Multi-family,Landlords,D7,Power,B,D2,76.60679746702662
Multi-family,Landlords,D7,Power,B,D3,82.90194249768973
Multi-family,Landlords,D7,Power,B,D4,151.3679129441304
Multi-family,Landlords,D7,Power,B,D5,311.859746184403
Multi-family,Landlords,D7,Power,B,D6,531.8333424369862
Multi-family,Landlords,D7,Power,B,D7,798.7166996225252
Multi-family,Landlords,D7,Power,B,D8,1050.446191854005
Multi-family,Landlords,D7,Power,B,D9,2212.025626006951
Single-family,Landlords,D7,Power,B,D1,115.01123862666395
Single-family,Landlords,D7,Power,B,D10,1022.726705189736
Single-family,Landlords,D7,Power,B,D2,51.10295901831344
Single-family,Landlords,D7,Power,B,D3,48.15205481791083
Single-family,Landlords,D7,Power,B,D4,184.09304452187249
Single-family,Landlords,D7,Power,B,D5,165.459372048132
Single-family,Landlords,D7,Power,B,D6,276.9237150611226
Single-family,Landlords,D7,Power,B,D7,316.2681535718077
Single-family,Landlords,D7,Power,B,D8,496.8540444226456
Single-family,Landlords,D7,Power,B,D9,744.6431557217944
Multi-family,Landlords,D8,Power,B,D1,128.68399985737537
Multi-family,Landlords,D8,Power,B,D10,4661.248327665899
Multi-family,Landlords,D8,Power,B,D2,80.38404253024096
Multi-family,Landlords,D8,Power,B,D3,139.22318128370836
Multi-family,Landlords,D8,Power,B,D4,143.93161511448244
Multi-family,Landlords,D8,Power,B,D5,169.13396013039358
Multi-family,Landlords,D8,Power,B,D6,330.2027369936739
Multi-family,Landlords,D8,Power,B,D7,808.327059002076
Multi-family,Landlords,D8,Power,B,D8,764.2081019976685
Multi-family,Landlords,D8,Power,B,D9,2236.9056654244837
Single-family,Landlords,D8,Power,B,D1,54.18365766124913
Single-family,Landlords,D8,Power,B,D10,892.3115954595662
Single-family,Landlords,D8,Power,B,D2,66.54119216872733
Single-family,Landlords,D8,Power,B,D3,69.6657012307958
Single-family,Landlords,D8,Power,B,D4,112.14839304441749
Single-family,Landlords,D8,Power,B,D5,95.13295318072223
Single-family,Landlords,D8,Power,B,D6,243.03437436085534
Single-family,Landlords,D8,Power,B,D7,280.99188651288415
Single-family,Landlords,D8,Power,B,D8,493.54262183213524
Single-family,Landlords,D8,Power,B,D9,509.4489475486471
Multi-family,Landlords,D9,Power,B,D1,230.11937445059237
Multi-family,Landlords,D9,Power,B,D10,4544.2728429065155
Multi-family,Landlords,D9,Power,B,D2,53.08280078383164
Multi-family,Landlords,D9,Power,B,D3,78.84152571229244
Multi-family,Landlords,D9,Power,B,D4,89.63089305350191
Multi-family,Landlords,D9,Power,B,D5,105.11353016456175
Multi-family,Landlords,D9,Power,B,D6,199.29857321532924
Multi-family,Landlords,D9,Power,B,D7,572.204372897818
Multi-family,Landlords,D9,Power,B,D8,820.239006312345
Multi-family,Landlords,D9,Power,B,D9,1620.740408503212
Single-family,Landlords,D9,Power,B,D1,35.47116069238991
Single-family,Landlords,D9,Power,B,D10,1358.5724517216863
Single-family,Landlords,D9,Power,B,D2,91.1247667910882
Single-family,Landlords,D9,Power,B,D3,70.54062505613268
Single-family,Landlords,D9,Power,B,D4,108.17580145579262
Single-family,Landlords,D9,Power,B,D5,123.57593907671944
Single-family,Landlords,D9,Power,B,D6,178.94353002307955
Single-family,Landlords,D9,Power,B,D7,251.83952466131754
Single-family,Landlords,D9,Power,B,D8,280.9340538890363
Single-family,Landlords,D9,Power,B,D9,589.7709136327575
Multi-family,Landlords,D10,Power,B,D1,97.61354087536695
Multi-family,Landlords,D10,Power,B,D10,3554.852763566508
Multi-family,Landlords,D10,Power,B,D2,51.06911746821374
Multi-family,Landlords,D10,Power,B,D3,115.5169442706375
Multi-family,Landlords,D10,Power,B,D4,43.529288763237645
Multi-family,Landlords,D10,Power,B,D5,109.22251827736571
Multi-family,Landlords,D10,Power,B,D6,265.674620265156
Multi-family,Landlords,D10,Power,B,D7,293.9942947880488
Multi-family,Landlords,D10,Power,B,D8,590.8643278705742
Multi-family,Landlords,D10,Power,B,D9,937.0803398548918
Single-family,Landlords,D10,Power,B,D1,105.75130745318683
Single-family,Landlords,D10,Power,B,D10,1280.7621747913686
Single-family,Landlords,D10,Power,B,D2,75.34598965106383
Single-family,Landlords,D10,Power,B,D3,95.61601194269413
Single-family,Landlords,D10,Power,B,D4,75.95489471225932
Single-family,Landlords,D10,Power,B,D5,81.40659447916063
Single-family,Landlords,D10,Power,B,D6,88.93450119525275
Single-family,Landlords,D10,Power,B,D7,166.09633360045956
Single-family,Landlords,D10,Power,B,D8,365.620427370339
Single-family,Landlords,D10,Power,B,D9,495.189071804215
Multi-family,Landlords,D1,Natural gas,B,D1,732.8868573719494
Multi-family,Landlords,D1,Natural gas,B,D10,5130.041410978316
Multi-family,Landlords,D1,Natural gas,B,D2,588.9741116775814
Multi-family,Landlords,D1,Natural gas,B,D3,723.8135493992544
Multi-family,Landlords,D1,Natural gas,B,D4,490.2471513714204
Multi-family,Landlords,D1,Natural gas,B,D5,876.1659784438095
Multi-family,Landlords,D1,Natural gas,B,D6,750.3347646542003
Multi-family,Landlords,D1,Natural gas,B,D7,1073.1549098381743
Multi-family,Landlords,D1,Natural gas,B,D8,1713.523462089978
Multi-family,Landlords,D1,Natural gas,B,D9,2786.371984175315
Single-family,Landlords,D1,Natural gas,B,D1,173.70969578658466
Single-family,Landlords,D1,Natural gas,B,D10,579.6226346687866
Single-family,Landlords,D1,Natural gas,B,D2,79.42799161785813
Single-family,Landlords,D1,Natural gas,B,D3,111.04578751417313
Single-family,Landlords,D1,Natural gas,B,D4,205.1348977073906
Single-family,Landlords,D1,Natural gas,B,D5,111.75734049027263
Single-family,Landlords,D1,Natural gas,B,D6,123.70205939349047
Single-family,Landlords,D1,Natural gas,B,D7,247.59216129608663
Single-family,Landlords,D1,Natural gas,B,D8,192.68072984494586
Single-family,Landlords,D1,Natural gas,B,D9,340.30363168041083
Multi-family,Landlords,D2,Natural gas,B,D1,458.11158356900916
Multi-family,Landlords,D2,Natural gas,B,D10,4646.113246840596
Multi-family,Landlords,D2,Natural gas,B,D2,416.5117359628137
Multi-family,Landlords,D2,Natural gas,B,D3,593.5688240855251
Multi-family,Landlords,D2,Natural gas,B,D4,424.53873551241105
Multi-family,Landlords,D2,Natural gas,B,D5,751.8705788771781
Multi-family,Landlords,D2,Natural gas,B,D6,651.0030557445722
Multi-family,Landlords,D2,Natural gas,B,D7,1053.970859271557
Multi-family,Landlords,D2,Natural gas,B,D8,1702.9424070307427
Multi-family,Landlords,D2,Natural gas,B,D9,2534.034363105596
Single-family,Landlords,D2,Natural gas,B,D1,242.89535002980844
Single-family,Landlords,D2,Natural gas,B,D10,776.1020828501439
Single-family,Landlords,D2,Natural gas,B,D2,191.6245283412946
Single-family,Landlords,D2,Natural gas,B,D3,95.16125144900806
Single-family,Landlords,D2,Natural gas,B,D4,241.89859222772793
Single-family,Landlords,D2,Natural gas,B,D5,160.3269146964894
Single-family,Landlords,D2,Natural gas,B,D6,206.7431658952615
Single-family,Landlords,D2,Natural gas,B,D7,322.08362971525236
Single-family,Landlords,D2,Natural gas,B,D8,351.98433113608183
Single-family,Landlords,D2,Natural gas,B,D9,356.58226465893154
Multi-family,Landlords,D3,Natural gas,B,D1,375.4710287751641
Multi-family,Landlords,D3,Natural gas,B,D10,4734.6934881891875
Multi-family,Landlords,D3,Natural gas,B,D2,309.9694433838843
Multi-family,Landlords,D3,Natural gas,B,D3,413.53132584433894
Multi-family,Landlords,D3,Natural gas,B,D4,333.04166821765034
Multi-family,Landlords,D3,Natural gas,B,D5,393.90199535371175
Multi-family,Landlords,D3,Natural gas,B,D6,715.4774784744608
Multi-family,Landlords,D3,Natural gas,B,D7,993.5465459877901
Multi-family,Landlords,D3,Natural gas,B,D8,1164.030401128961
Multi-family,Landlords,D3,Natural gas,B,D9,2470.1475546448505
Single-family,Landlords,D3,Natural gas,B,D1,135.85153478693348
Single-family,Landlords,D3,Natural gas,B,D10,899.9136943798692
Single-family,Landlords,D3,Natural gas,B,D2,152.68774178079354
Single-family,Landlords,D3,Natural gas,B,D3,193.61976032304608
Single-family,Landlords,D3,Natural gas,B,D4,112.12962645477592
Single-family,Landlords,D3,Natural gas,B,D5,171.14218552525261
Single-family,Landlords,D3,Natural gas,B,D6,129.73482718181216
Single-family,Landlords,D3,Natural gas,B,D7,276.4300916214792
Single-family,Landlords,D3,Natural gas,B,D8,309.53006985141906
Single-family,Landlords,D3,Natural gas,B,D9,425.04901309461934
Multi-family,Landlords,D4,Natural gas,B,D1,371.3348297389333
Multi-family,Landlords,D4,Natural gas,B,D10,5008.924123944332
Multi-family,Landlords,D4,Natural gas,B,D2,314.7432864070246
Multi-family,Landlords,D4,Natural gas,B,D3,351.47088121390937
Multi-family,Landlords,D4,Natural gas,B,D4,536.2778675441023
Multi-family,Landlords,D4,Natural gas,B,D5,487.34946891861443
Multi-family,Landlords,D4,Natural gas,B,D6,634.5888601087631
Multi-family,Landlords,D4,Natural gas,B,D7,927.0525689261339
Multi-family,Landlords,D4,Natural gas,B,D8,1666.083455743465
Multi-family,Landlords,D4,Natural gas,B,D9,2437.742747454722
Single-family,Landlords,D4,Natural gas,B,D1,87.09447691074995
Single-family,Landlords,D4,Natural gas,B,D10,880.5757265332618
Single-family,Landlords,D4,Natural gas,B,D2,101.91173983395824
Single-family,Landlords,D4,Natural gas,B,D3,252.02718532587087
Single-family,Landlords,D4,Natural gas,B,D4,178.6514555588626
Single-family,Landlords,D4,Natural gas,B,D5,154.81756224300122
Single-family,Landlords,D4,Natural gas,B,D6,163.50528915397365
Single-family,Landlords,D4,Natural gas,B,D7,258.2915985098871
Single-family,Landlords,D4,Natural gas,B,D8,481.6329689293558
Single-family,Landlords,D4,Natural gas,B,D9,526.2483780010785
Multi-family,Landlords,D5,Natural gas,B,D1,267.24140480998454
Multi-family,Landlords,D5,Natural gas,B,D10,5050.6824251882645
Multi-family,Landlords,D5,Natural gas,B,D2,337.61899351118035
Multi-family,Landlords,D5,Natural gas,B,D3,211.57077297611343
Multi-family,Landlords,D5,Natural gas,B,D4,523.9911521212284
Multi-family,Landlords,D5,Natural gas,B,D5,647.9317574430216
Multi-family,Landlords,D5,Natural gas,B,D6,749.3244988241471
Multi-family,Landlords,D5,Natural gas,B,D7,1144.999123445243
Multi-family,Landlords,D5,Natural gas,B,D8,1726.3039772779925
Multi-family,Landlords,D5,Natural gas,B,D9,2510.9873144028224
Single-family,Landlords,D5,Natural gas,B,D1,105.44152406308964
Single-family,Landlords,D5,Natural gas,B,D10,917.7607257541138
Single-family,Landlords,D5,Natural gas,B,D2,77.27769487093045
Single-family,Landlords,D5,Natural gas,B,D3,131.05827068459618
Single-family,Landlords,D5,Natural gas,B,D4,201.43754423257687
Single-family,Landlords,D5,Natural gas,B,D5,279.9720051818497
Single-family,Landlords,D5,Natural gas,B,D6,219.42022532563593
Single-family,Landlords,D5,Natural gas,B,D7,266.5238292925853
Single-family,Landlords,D5,Natural gas,B,D8,426.1362204625511
Single-family,Landlords,D5,Natural gas,B,D9,498.3145451320708
Multi-family,Landlords,D6,Natural gas,B,D1,302.8575029179867
Multi-family,Landlords,D6,Natural gas,B,D10,5951.925870188406
Multi-family,Landlords,D6,Natural gas,B,D2,191.21141758677544
Multi-family,Landlords,D6,Natural gas,B,D3,261.88627390451586
Multi-family,Landlords,D6,Natural gas,B,D4,379.52561767282685
Multi-family,Landlords,D6,Natural gas,B,D5,459.648184120626
Multi-family,Landlords,D6,Natural gas,B,D6,864.9145032706758
Multi-family,Landlords,D6,Natural gas,B,D7,1247.318260517132
Multi-family,Landlords,D6,Natural gas,B,D8,1399.3350973229067
Multi-family,Landlords,D6,Natural gas,B,D9,2913.7818524981462
Single-family,Landlords,D6,Natural gas,B,D1,77.06040031483082
Single-family,Landlords,D6,Natural gas,B,D10,952.2627969332299
Single-family,Landlords,D6,Natural gas,B,D2,79.01408328703683
Single-family,Landlords,D6,Natural gas,B,D3,109.41798584094325
Single-family,Landlords,D6,Natural gas,B,D4,269.3902531359016
Single-family,Landlords,D6,Natural gas,B,D5,199.13767457241934
Single-family,Landlords,D6,Natural gas,B,D6,302.44170006359207
Single-family,Landlords,D6,Natural gas,B,D7,248.61196634510182
Single-family,Landlords,D6,Natural gas,B,D8,344.9182345492858
Single-family,Landlords,D6,Natural gas,B,D9,693.064312957658
Multi-family,Landlords,D7,Natural gas,B,D1,185.9038716627158
Multi-family,Landlords,D7,Natural gas,B,D10,6716.359287758727
Multi-family,Landlords,D7,Natural gas,B,D2,171.55903958658413
Multi-family,Landlords,D7,Natural gas,B,D3,253.62681758538196
Multi-family,Landlords,D7,Natural gas,B,D4,285.2394991851108
Multi-family,Landlords,D7,Natural gas,B,D5,473.8184196343916
Multi-family,Landlords,D7,Natural gas,B,D6,852.142845781731
Multi-family,Landlords,D7,Natural gas,B,D7,1099.9313779806564
Multi-family,Landlords,D7,Natural gas,B,D8,1584.1013351262266
Multi-family,Landlords,D7,Natural gas,B,D9,3100.349455698475
Single-family,Landlords,D7,Natural gas,B,D1,93.31240459170192
Single-family,Landlords,D7,Natural gas,B,D10,1011.8363076493221
Single-family,Landlords,D7,Natural gas,B,D2,76.11624473574643
Single-family,Landlords,D7,Natural gas,B,D3,62.01913097122212
Single-family,Landlords,D7,Natural gas,B,D4,176.43178214858233
Single-family,Landlords,D7,Natural gas,B,D5,166.22608773157648
Single-family,Landlords,D7,Natural gas,B,D6,278.8500718560148
Single-family,Landlords,D7,Natural gas,B,D7,337.48060359732534
Single-family,Landlords,D7,Natural gas,B,D8,447.34407208447817
Single-family,Landlords,D7,Natural gas,B,D9,714.9489426340301
Multi-family,Landlords,D8,Natural gas,B,D1,267.5508670619656
Multi-family,Landlords,D8,Natural gas,B,D10,6971.099100474661
Multi-family,Landlords,D8,Natural gas,B,D2,227.86381411143347
Multi-family,Landlords,D8,Natural gas,B,D3,220.5728903301626
Multi-family,Landlords,D8,Natural gas,B,D4,251.6054949813171
Multi-family,Landlords,D8,Natural gas,B,D5,363.6101034410293
Multi-family,Landlords,D8,Natural gas,B,D6,538.7679594864809
Multi-family,Landlords,D8,Natural gas,B,D7,1001.4251664176546
Multi-family,Landlords,D8,Natural gas,B,D8,1406.126764462755
Multi-family,Landlords,D8,Natural gas,B,D9,2822.92272923254
Single-family,Landlords,D8,Natural gas,B,D1,43.17215869743184
Single-family,Landlords,D8,Natural gas,B,D10,958.795545452325
Single-family,Landlords,D8,Natural gas,B,D2,54.06538929961679
Single-family,Landlords,D8,Natural gas,B,D3,88.54516102361437
Single-family,Landlords,D8,Natural gas,B,D4,110.48596283662654
Single-family,Landlords,D8,Natural gas,B,D5,113.42481030842262
Single-family,Landlords,D8,Natural gas,B,D6,229.0233563978289
Single-family,Landlords,D8,Natural gas,B,D7,280.9020481222347
Single-family,Landlords,D8,Natural gas,B,D8,441.8025611867858
Single-family,Landlords,D8,Natural gas,B,D9,535.2111326751133
Multi-family,Landlords,D9,Natural gas,B,D1,308.9560234104948
Multi-family,Landlords,D9,Natural gas,B,D10,6603.751373804636
Multi-family,Landlords,D9,Natural gas,B,D2,122.90763697361896
Multi-family,Landlords,D9,Natural gas,B,D3,146.67339374921133
Multi-family,Landlords,D9,Natural gas,B,D4,167.06604630730254
Multi-family,Landlords,D9,Natural gas,B,D5,259.88796329548467
Multi-family,Landlords,D9,Natural gas,B,D6,446.66362333275066
Multi-family,Landlords,D9,Natural gas,B,D7,782.810217602274
Multi-family,Landlords,D9,Natural gas,B,D8,1176.4692486416607
Multi-family,Landlords,D9,Natural gas,B,D9,2344.588092882566
Single-family,Landlords,D9,Natural gas,B,D1,51.47890564561644
Single-family,Landlords,D9,Natural gas,B,D10,1313.53101783534
Single-family,Landlords,D9,Natural gas,B,D2,64.64396805315735
Single-family,Landlords,D9,Natural gas,B,D3,55.244409458587555
Single-family,Landlords,D9,Natural gas,B,D4,99.34852881367254
Single-family,Landlords,D9,Natural gas,B,D5,94.16245670938083
Single-family,Landlords,D9,Natural gas,B,D6,197.44305225815552
Single-family,Landlords,D9,Natural gas,B,D7,262.99401464729044
Single-family,Landlords,D9,Natural gas,B,D8,281.6497280365068
Single-family,Landlords,D9,Natural gas,B,D9,587.3587215422931
Multi-family,Landlords,D10,Natural gas,B,D1,298.3819662510627
Multi-family,Landlords,D10,Natural gas,B,D10,6229.262861790647
Multi-family,Landlords,D10,Natural gas,B,D2,180.3060371902494
Multi-family,Landlords,D10,Natural gas,B,D3,152.79391845686789
Multi-family,Landlords,D10,Natural gas,B,D4,120.68129136523225
Multi-family,Landlords,D10,Natural gas,B,D5,196.4914776325013
Multi-family,Landlords,D10,Natural gas,B,D6,456.0861250202699
Multi-family,Landlords,D10,Natural gas,B,D7,527.0114870525495
Multi-family,Landlords,D10,Natural gas,B,D8,910.2946561930789
Multi-family,Landlords,D10,Natural gas,B,D9,1671.9165290475423
Single-family,Landlords,D10,Natural gas,B,D1,63.15335613932458
Single-family,Landlords,D10,Natural gas,B,D10,1278.3898141112643
Single-family,Landlords,D10,Natural gas,B,D2,68.95148860784123
Single-family,Landlords,D10,Natural gas,B,D3,64.68311410439587
Single-family,Landlords,D10,Natural gas,B,D4,62.19878174506539
Single-family,Landlords,D10,Natural gas,B,D5,66.58012844720126
Single-family,Landlords,D10,Natural gas,B,D6,77.63415854022094
Single-family,Landlords,D10,Natural gas,B,D7,137.25335400459707
Single-family,Landlords,D10,Natural gas,B,D8,398.1767361746875
Single-family,Landlords,D10,Natural gas,B,D9,423.7792701254017
Multi-family,Landlords,D1,Power,C,D1,1769.7789160873515
Multi-family,Landlords,D1,Power,C,D10,9536.459210831275
Multi-family,Landlords,D1,Power,C,D2,1278.2492069420734
Multi-family,Landlords,D1,Power,C,D3,1289.051654245737
Multi-family,Landlords,D1,Power,C,D4,1039.7089345769261
Multi-family,Landlords,D1,Power,C,D5,1480.0242286102466
Multi-family,Landlords,D1,Power,C,D6,1662.5911454292898
Multi-family,Landlords,D1,Power,C,D7,2449.996494678054
Multi-family,Landlords,D1,Power,C,D8,3219.323005943775
Multi-family,Landlords,D1,Power,C,D9,5350.571902655271
Single-family,Landlords,D1,Power,C,D1,398.6985349887708
Single-family,Landlords,D1,Power,C,D10,1854.039568352627
Single-family,Landlords,D1,Power,C,D2,388.94675158956295
Single-family,Landlords,D1,Power,C,D3,455.50420051435674
Single-family,Landlords,D1,Power,C,D4,397.47923030315525
Single-family,Landlords,D1,Power,C,D5,421.7981919214144
Single-family,Landlords,D1,Power,C,D6,439.57865421433667
Single-family,Landlords,D1,Power,C,D7,487.8827760176929
Single-family,Landlords,D1,Power,C,D8,786.0208374481751
Single-family,Landlords,D1,Power,C,D9,987.302015649907
Multi-family,Landlords,D2,Power,C,D1,1277.5459962790148
Multi-family,Landlords,D2,Power,C,D10,7773.622021485457
Multi-family,Landlords,D2,Power,C,D2,1035.8870716148874
Multi-family,Landlords,D2,Power,C,D3,851.3177976006698
Multi-family,Landlords,D2,Power,C,D4,938.2469819461783
Multi-family,Landlords,D2,Power,C,D5,1063.9575591905254
Multi-family,Landlords,D2,Power,C,D6,1655.5025234806167
Multi-family,Landlords,D2,Power,C,D7,1960.725270572569
Multi-family,Landlords,D2,Power,C,D8,2580.956601329762
Multi-family,Landlords,D2,Power,C,D9,4466.898416500321
Single-family,Landlords,D2,Power,C,D1,525.1443437727871
Single-family,Landlords,D2,Power,C,D10,1779.3631350138144
Single-family,Landlords,D2,Power,C,D2,496.5092457822692
Single-family,Landlords,D2,Power,C,D3,335.24520291035975
Single-family,Landlords,D2,Power,C,D4,436.83333632458573
Single-family,Landlords,D2,Power,C,D5,640.3433962628542
Single-family,Landlords,D2,Power,C,D6,693.0393949766401
Single-family,Landlords,D2,Power,C,D7,713.6786416535514
Single-family,Landlords,D2,Power,C,D8,960.7249876240096
Single-family,Landlords,D2,Power,C,D9,1279.6867376791292
Multi-family,Landlords,D3,Power,C,D1,924.8755175478409
Multi-family,Landlords,D3,Power,C,D10,7127.922920615551
Multi-family,Landlords,D3,Power,C,D2,744.1054511104787
Multi-family,Landlords,D3,Power,C,D3,808.7616216323503
Multi-family,Landlords,D3,Power,C,D4,770.6284679053034
Multi-family,Landlords,D3,Power,C,D5,794.2185604834985
Multi-family,Landlords,D3,Power,C,D6,1269.4712120445022
Multi-family,Landlords,D3,Power,C,D7,1630.8589905453093
Multi-family,Landlords,D3,Power,C,D8,2150.2783898328375
Multi-family,Landlords,D3,Power,C,D9,4259.116178282331
Single-family,Landlords,D3,Power,C,D1,341.37403621016006
Single-family,Landlords,D3,Power,C,D10,2384.6580571737086
Single-family,Landlords,D3,Power,C,D2,403.72126113916363
Single-family,Landlords,D3,Power,C,D3,511.33245517044986
Single-family,Landlords,D3,Power,C,D4,333.91771134663975
Single-family,Landlords,D3,Power,C,D5,408.81245821722
Single-family,Landlords,D3,Power,C,D6,403.44589425592056
Single-family,Landlords,D3,Power,C,D7,810.7457306609771
Single-family,Landlords,D3,Power,C,D8,842.3395579041761
Single-family,Landlords,D3,Power,C,D9,1234.655212921584
Multi-family,Landlords,D4,Power,C,D1,772.6977339088543
Multi-family,Landlords,D4,Power,C,D10,7677.679337928484
Multi-family,Landlords,D4,Power,C,D2,733.5028832726185
Multi-family,Landlords,D4,Power,C,D3,636.6653909392411
Multi-family,Landlords,D4,Power,C,D4,907.956934567496
Multi-family,Landlords,D4,Power,C,D5,838.6898604818896
Multi-family,Landlords,D4,Power,C,D6,817.8199951330782
Multi-family,Landlords,D4,Power,C,D7,1821.7880958467208
Multi-family,Landlords,D4,Power,C,D8,2731.876471902461
Multi-family,Landlords,D4,Power,C,D9,3990.2858860191545
Single-family,Landlords,D4,Power,C,D1,292.4087371424478
Single-family,Landlords,D4,Power,C,D10,1973.438869627087
Single-family,Landlords,D4,Power,C,D2,363.2611606852649
Single-family,Landlords,D4,Power,C,D3,495.8845065631065
Single-family,Landlords,D4,Power,C,D4,357.0630163108069
Single-family,Landlords,D4,Power,C,D5,406.4202145350753
Single-family,Landlords,D4,Power,C,D6,590.3574138435832
Single-family,Landlords,D4,Power,C,D7,770.1618620231035
Single-family,Landlords,D4,Power,C,D8,879.0719917098688
Single-family,Landlords,D4,Power,C,D9,1263.978325559656
Multi-family,Landlords,D5,Power,C,D1,875.8200403088487
Multi-family,Landlords,D5,Power,C,D10,8094.621835609292
Multi-family,Landlords,D5,Power,C,D2,772.5172772481122
Multi-family,Landlords,D5,Power,C,D3,468.63805275458975
Multi-family,Landlords,D5,Power,C,D4,846.8479461862305
Multi-family,Landlords,D5,Power,C,D5,1219.3711526452937
Multi-family,Landlords,D5,Power,C,D6,986.9835220133108
Multi-family,Landlords,D5,Power,C,D7,1522.5525795260055
Multi-family,Landlords,D5,Power,C,D8,2377.2355246337115
Multi-family,Landlords,D5,Power,C,D9,3835.933699074605
Single-family,Landlords,D5,Power,C,D1,229.20468218917907
Single-family,Landlords,D5,Power,C,D10,2234.763607547677
Single-family,Landlords,D5,Power,C,D2,259.08994468591516
