Housing type,Occupancy status,Income class,Heating energy,Energy performance,Income class owner,Stock buildings
Single-family,Homeowners,D7,Natural gas,C,D7,125562.9249
Multi-family,Social-housing,D8,Natural gas,C,D10,31395.74601
Single-family,Social-housing,D8,Natural gas,C,D10,7788.373496
Multi-family,Homeowners,D8,Natural gas,C,D8,67996.04548
Single-family,Homeowners,D8,Natural gas,C,D8,141049.5217
Multi-family,Social-housing,D9,Natural gas,C,D10,19994.52981
Single-family,Social-housing,D9,Natural gas,C,D10,3880.826083
Multi-family,Homeowners,D9,Natural gas,C,D9,82934.36002
Single-family,Homeowners,D9,Natural gas,C,D9,158867.4412
Multi-family,Social-housing,D10,Natural gas,C,D10,9194.183554
Single-family,Social-housing,D10,Natural gas,C,D10,1336.748517
Multi-family,Homeowners,D10,Natural gas,C,D10,117279.6952
Single-family,Homeowners,D10,Natural gas,C,D10,163172.7257
Multi-family,Social-housing,D1,Power,D,D10,54018.93396
Single-family,Social-housing,D1,Power,D,D10,9674.54925
Multi-family,Homeowners,D1,Power,D,D1,16076.5477
Single-family,Homeowners,D1,Power,D,D1,33164.5537
Multi-family,Social-housing,D2,Power,D,D10,52805.02856
Single-family,Social-housing,D2,Power,D,D10,12319.58356
Multi-family,Homeowners,D2,Power,D,D2,21122.65013
Single-family,Homeowners,D2,Power,D,D2,60152.91877
Multi-family,Social-housing,D3,Power,D,D10,37083.18312
Single-family,Social-housing,D3,Power,D,D10,10380.81111
Multi-family,Homeowners,D3,Power,D,D3,24489.01524
Single-family,Homeowners,D3,Power,D,D3,92772.0709
Multi-family,Social-housing,D4,Power,D,D10,31471.11806
Single-family,Social-housing,D4,Power,D,D10,9028.321313
Multi-family,Homeowners,D4,Power,D,D4,30678.65905
Single-family,Homeowners,D4,Power,D,D4,115405.2609
Multi-family,Social-housing,D5,Power,D,D10,26634.71638
Single-family,Social-housing,D5,Power,D,D10,7091.372298
Multi-family,Homeowners,D5,Power,D,D5,36201.45772
Single-family,Homeowners,D5,Power,D,D5,134343.4845
Multi-family,Social-housing,D6,Power,D,D10,20232.69732
Single-family,Social-housing,D6,Power,D,D10,5141.495315
Multi-family,Homeowners,D6,Power,D,D6,41886.7762
Single-family,Homeowners,D6,Power,D,D6,152654.8973
Multi-family,Social-housing,D7,Power,D,D10,16400.69447
Single-family,Social-housing,D7,Power,D,D10,3911.891379
Multi-family,Homeowners,D7,Power,D,D7,48839.89931
Single-family,Homeowners,D7,Power,D,D7,167072.2112
Multi-family,Social-housing,D8,Power,D,D10,12694.27556
Single-family,Social-housing,D8,Power,D,D10,2500.045422
Multi-family,Homeowners,D8,Power,D,D8,59142.99965
Single-family,Homeowners,D8,Power,D,D8,182832.1393
Multi-family,Social-housing,D9,Power,D,D10,8976.601727
Single-family,Social-housing,D9,Power,D,D10,1452.467378
Multi-family,Homeowners,D9,Power,D,D9,69578.82487
Single-family,Homeowners,D9,Power,D,D9,195546.9605
Multi-family,Social-housing,D10,Power,D,D10,5189.296297
Single-family,Social-housing,D10,Power,D,D10,380.8951629
Multi-family,Homeowners,D10,Power,D,D10,93028.31983
Single-family,Homeowners,D10,Power,D,D10,182487.6733
Multi-family,Social-housing,D1,Natural gas,D,D10,211806.9728
Single-family,Social-housing,D1,Natural gas,D,D10,29581.42104
Multi-family,Homeowners,D1,Natural gas,D,D1,29695.48157
Single-family,Homeowners,D1,Natural gas,D,D1,56234.62906
Multi-family,Social-housing,D2,Natural gas,D,D10,194134.7871
Single-family,Social-housing,D2,Natural gas,D,D10,36573.77656
Multi-family,Homeowners,D2,Natural gas,D,D2,36535.78419
Single-family,Homeowners,D2,Natural gas,D,D2,74826.25841
Multi-family,Social-housing,D3,Natural gas,D,D10,129276.033
Single-family,Social-housing,D3,Natural gas,D,D10,30143.30518
Multi-family,Homeowners,D3,Natural gas,D,D3,46755.51975
Single-family,Homeowners,D3,Natural gas,D,D3,112833.2199
Multi-family,Social-housing,D4,Natural gas,D,D10,110603.6071
Single-family,Social-housing,D4,Natural gas,D,D10,26006.0899
