Housing type,Occupancy status,Income class,Heating energy,Energy performance,Income class owner,Stock 2018
Single-family,Landlords,C2,Natural gas,A,C1,0
Single-family,Landlords,C3,Natural gas,A,C1,0
Single-family,Landlords,C4,Natural gas,A,C1,0
Single-family,Landlords,C5,Natural gas,A,C1,0
Single-family,Landlords,C1,Natural gas,G,C2,1385.603355
Single-family,Landlords,C2,Natural gas,G,C2,879.8836354
Single-family,Landlords,C3,Natural gas,G,C2,1627.092848
Single-family,Landlords,C4,Natural gas,G,C2,462.6431884
Single-family,Landlords,C5,Natural gas,G,C2,190.9352043
Single-family,Landlords,C1,Natural gas,F,C2,404.1760305
Single-family,Landlords,C2,Natural gas,F,C2,1168.543331
Single-family,Landlords,C3,Natural gas,F,C2,1125.699172
Single-family,Landlords,C4,Natural gas,F,C2,504.5459739
Single-family,Landlords,C5,Natural gas,F,C2,369.3861719
Single-family,Landlords,C1,Natural gas,E,C2,2533.134603
Single-family,Landlords,C2,Natural gas,E,C2,3138.223402
Single-family,Landlords,C3,Natural gas,E,C2,2652.312542
Single-family,Landlords,C4,Natural gas,E,C2,2367.943244
Single-family,Landlords,C5,Natural gas,E,C2,1259.340416
Single-family,Landlords,C1,Natural gas,D,C2,299.6280683
Single-family,Landlords,C2,Natural gas,D,C2,538.4143829
Single-family,Landlords,C3,Natural gas,D,C2,1251.49526
Single-family,Landlords,C4,Natural gas,D,C2,1881.31993
Single-family,Landlords,C5,Natural gas,D,C2,264.7266168
Single-family,Landlords,C1,Natural gas,C,C2,480.4100298
Single-family,Landlords,C2,Natural gas,C,C2,956.2511383
Single-family,Landlords,C3,Natural gas,C,C2,4599.796156
Single-family,Landlords,C4,Natural gas,C,C2,1786.708912
Single-family,Landlords,C5,Natural gas,C,C2,1123.942184
Single-family,Landlords,C1,Natural gas,B,C2,67.01318032
Single-family,Landlords,C2,Natural gas,B,C2,134.0263606
Single-family,Landlords,C3,Natural gas,B,C2,536.1054425
Single-family,Landlords,C4,Natural gas,B,C2,402.0790819
Single-family,Landlords,C5,Natural gas,B,C2,201.039541
Single-family,Landlords,C1,Natural gas,A,C2,0
Single-family,Landlords,C2,Natural gas,A,C2,0
Single-family,Landlords,C3,Natural gas,A,C2,0
Single-family,Landlords,C4,Natural gas,A,C2,0
Single-family,Landlords,C5,Natural gas,A,C2,0
Single-family,Landlords,C1,Natural gas,G,C3,3057.537567
Single-family,Landlords,C2,Natural gas,G,C3,1941.592636
Single-family,Landlords,C3,Natural gas,G,C3,3590.419647
Single-family,Landlords,C4,Natural gas,G,C3,1020.890231
Single-family,Landlords,C5,Natural gas,G,C3,421.3266068
Single-family,Landlords,C1,Natural gas,F,C3,891.8738483
Single-family,Landlords,C2,Natural gas,F,C3,2578.562702
Single-family,Landlords,C3,Natural gas,F,C3,2484.020765
Single-family,Landlords,C4,Natural gas,F,C3,1113.354889
Single-family,Landlords,C5,Natural gas,F,C3,815.1049092
Single-family,Landlords,C1,Natural gas,E,C3,5589.734019
Single-family,Landlords,C2,Natural gas,E,C3,6924.951436
Single-family,Landlords,C3,Natural gas,E,C3,5852.717668
Single-family,Landlords,C4,Natural gas,E,C3,5225.214992
Single-family,Landlords,C5,Natural gas,E,C3,2778.919824
Single-family,Landlords,C1,Natural gas,D,C3,661.1733951
Single-family,Landlords,C2,Natural gas,D,C3,1188.090514
Single-family,Landlords,C3,Natural gas,D,C3,2761.608333
Single-family,Landlords,C4,Natural gas,D,C3,4151.409087
Single-family,Landlords,C5,Natural gas,D,C3,584.1582099
Single-family,Landlords,C1,Natural gas,C,C3,1060.095379
Single-family,Landlords,C2,Natural gas,C,C3,2110.10876
Single-family,Landlords,C3,Natural gas,C,C3,10150.12665
Single-family,Landlords,C4,Natural gas,C,C3,3942.635962
Single-family,Landlords,C5,Natural gas,C,C3,2480.143712
Single-family,Landlords,C1,Natural gas,B,C3,147.8744371
Single-family,Landlords,C2,Natural gas,B,C3,295.7488742
Single-family,Landlords,C3,Natural gas,B,C3,1182.995497
Single-family,Landlords,C4,Natural gas,B,C3,887.2466227
Single-family,Landlords,C5,Natural gas,B,C3,443.6233114
Single-family,Landlords,C1,Natural gas,A,C3,0
Single-family,Landlords,C2,Natural gas,A,C3,0
Single-family,Landlords,C3,Natural gas,A,C3,0
Single-family,Landlords,C4,Natural gas,A,C3,0
Single-family,Landlords,C5,Natural gas,A,C3,0
Single-family,Landlords,C1,Natural gas,G,C4,5534.794103
Single-family,Landlords,C2,Natural gas,G,C4,3514.696135
Single-family,Landlords,C3,Natural gas,G,C4,6499.424145
Single-family,Landlords,C4,Natural gas,G,C4,1848.028717
Single-family,Landlords,C5,Natural gas,G,C4,762.6908803
Single-family,Landlords,C1,Natural gas,F,C4,1614.481592
Single-family,Landlords,C2,Natural gas,F,C4,4667.747601
Single-family,Landlords,C3,Natural gas,F,C4,4496.606561
Single-family,Landlords,C4,Natural gas,F,C4,2015.40944
Single-family,Landlords,C5,Natural gas,F,C4,1475.513464
Single-family,Landlords,C1,Natural gas,E,C4,10118.60892
Single-family,Landlords,C2,Natural gas,E,C4,12535.63678
Single-family,Landlords,C3,Natural gas,E,C4,10594.66532
Single-family,Landlords,C4,Natural gas,E,C4,9458.751853
Single-family,Landlords,C5,Natural gas,E,C4,5030.436657
Single-family,Landlords,C1,Natural gas,D,C4,1196.864643
Single-family,Landlords,C2,Natural gas,D,C4,2150.696835
Single-family,Landlords,C3,Natural gas,D,C4,4999.09917
Single-family,Landlords,C4,Natural gas,D,C4,7514.934495
Single-family,Landlords,C5,Natural gas,D,C4,1057.450757
Single-family,Landlords,C1,Natural gas,C,C4,1918.998384
Single-family,Landlords,C2,Natural gas,C,C4,3819.746207
Single-family,Landlords,C3,Natural gas,C,C4,18373.89072
Single-family,Landlords,C4,Natural gas,C,C4,7137.010681
Single-family,Landlords,C5,Natural gas,C,C4,4489.588269
Single-family,Landlords,C1,Natural gas,B,C4,267.6842214
Single-family,Landlords,C2,Natural gas,B,C4,535.3684427
Single-family,Landlords,C3,Natural gas,B,C4,2141.473771
Single-family,Landlords,C4,Natural gas,B,C4,1606.105328
Single-family,Landlords,C5,Natural gas,B,C4,803.0526641
Single-family,Landlords,C1,Natural gas,A,C4,0
Single-family,Landlords,C2,Natural gas,A,C4,0
Single-family,Landlords,C3,Natural gas,A,C4,0
Single-family,Landlords,C4,Natural gas,A,C4,0
Single-family,Landlords,C5,Natural gas,A,C4,0
Single-family,Landlords,C1,Natural gas,G,C5,12910.48496
Single-family,Landlords,C2,Natural gas,G,C5,8198.395594
Single-family,Landlords,C3,Natural gas,G,C5,15160.58522
Single-family,Landlords,C4,Natural gas,G,C5,4310.719878
Single-family,Landlords,C5,Natural gas,G,C5,1779.056087
Single-family,Landlords,C1,Natural gas,F,C5,3765.94683
Single-family,Landlords,C2,Natural gas,F,C5,10888.00849
Single-family,Landlords,C3,Natural gas,F,C5,10488.80415
Single-family,Landlords,C4,Natural gas,F,C5,4701.152883
Single-family,Landlords,C5,Natural gas,F,C5,3441.789166
Single-family,Landlords,C1,Natural gas,E,C5,23602.71148
Single-family,Landlords,C2,Natural gas,E,C5,29240.68125
Single-family,Landlords,C3,Natural gas,E,C5,24713.16274
Single-family,Landlords,C4,Natural gas,E,C5,22063.526
Single-family,Landlords,C5,Natural gas,E,C5,11734.01858
Single-family,Landlords,C1,Natural gas,D,C5,2791.811708
Single-family,Landlords,C2,Natural gas,D,C5,5016.724857
Single-family,Landlords,C3,Natural gas,D,C5,11660.92062
Single-family,Landlords,C4,Natural gas,D,C5,17529.36912
Single-family,Landlords,C5,Natural gas,D,C5,2466.614267
Single-family,Landlords,C1,Natural gas,C,C5,4476.264035
Single-family,Landlords,C2,Natural gas,C,C5,8909.95673
Single-family,Landlords,C3,Natural gas,C,C5,42859.01797
Single-family,Landlords,C4,Natural gas,C,C5,16647.82237
Single-family,Landlords,C5,Natural gas,C,C5,10472.43326
Single-family,Landlords,C1,Natural gas,B,C5,624.401387
Single-family,Landlords,C2,Natural gas,B,C5,1248.802774
Single-family,Landlords,C3,Natural gas,B,C5,4995.211096
Single-family,Landlords,C4,Natural gas,B,C5,3746.408322
Single-family,Landlords,C5,Natural gas,B,C5,1873.204161
Single-family,Landlords,C1,Natural gas,A,C5,0
Single-family,Landlords,C2,Natural gas,A,C5,0
Single-family,Landlords,C3,Natural gas,A,C5,0
Single-family,Landlords,C4,Natural gas,A,C5,0
Single-family,Landlords,C5,Natural gas,A,C5,0
Single-family,Landlords,C1,Oil fuel,G,C1,2203.21933
Single-family,Landlords,C2,Oil fuel,G,C1,1399.084829
Single-family,Landlords,C3,Oil fuel,G,C1,2587.206795
Single-family,Landlords,C4,Oil fuel,G,C1,735.6393963
Single-family,Landlords,C5,Oil fuel,G,C1,303.6021321
Single-family,Landlords,C1,Oil fuel,F,C1,841.9938588
Single-family,Landlords,C2,Oil fuel,F,C1,2434.350961
Single-family,Landlords,C3,Oil fuel,F,C1,2345.096488
Single-family,Landlords,C4,Oil fuel,F,C1,1051.088089
Single-family,Landlords,C5,Oil fuel,F,C1,769.5183899
Single-family,Landlords,C1,Oil fuel,E,C1,1584.211681
Single-family,Landlords,C2,Oil fuel,E,C1,1962.631659
Single-family,Landlords,C3,Oil fuel,E,C1,1658.74506
Single-family,Landlords,C4,Oil fuel,E,C1,1480.901702
Single-family,Landlords,C5,Oil fuel,E,C1,787.5861767
Single-family,Landlords,C1,Oil fuel,D,C1,172.3971597
Single-family,Landlords,C2,Oil fuel,D,C1,309.7877675
Single-family,Landlords,C3,Oil fuel,D,C1,720.073488
Single-family,Landlords,C4,Oil fuel,D,C1,1082.456041
Single-family,Landlords,C5,Oil fuel,D,C1,152.3158931
Single-family,Landlords,C1,Oil fuel,C,C1,33.06237432
Single-family,Landlords,C2,Oil fuel,C,C1,65.81031018
Single-family,Landlords,C3,Oil fuel,C,C1,316.5632956
Single-family,Landlords,C4,Oil fuel,C,C1,122.9633754
Single-family,Landlords,C5,Oil fuel,C,C1,77.35100202
Single-family,Landlords,C1,Oil fuel,B,C1,0
Single-family,Landlords,C2,Oil fuel,B,C1,0
Single-family,Landlords,C3,Oil fuel,B,C1,0
Single-family,Landlords,C4,Oil fuel,B,C1,0
Single-family,Landlords,C5,Oil fuel,B,C1,0
Single-family,Landlords,C1,Oil fuel,A,C1,0
Single-family,Landlords,C2,Oil fuel,A,C1,0
Single-family,Landlords,C3,Oil fuel,A,C1,0
Single-family,Landlords,C4,Oil fuel,A,C1,0
Single-family,Landlords,C5,Oil fuel,A,C1,0
Single-family,Landlords,C1,Oil fuel,G,C2,2579.170071
Single-family,Landlords,C2,Oil fuel,G,C2,1637.82047
Single-family,Landlords,C3,Oil fuel,G,C2,3028.680005
Single-family,Landlords,C4,Oil fuel,G,C2,861.1666973
Single-family,Landlords,C5,Oil fuel,G,C2,355.4078897
Single-family,Landlords,C1,Oil fuel,F,C2,985.6691664
Single-family,Landlords,C2,Oil fuel,F,C2,2849.74131
Single-family,Landlords,C3,Oil fuel,F,C2,2745.256721
Single-family,Landlords,C4,Oil fuel,F,C2,1230.442609
Single-family,Landlords,C5,Oil fuel,F,C2,900.8267008
Single-family,Landlords,C1,Oil fuel,E,C2,1854.536812
Single-family,Landlords,C2,Oil fuel,E,C2,2297.529241
Single-family,Landlords,C3,Oil fuel,E,C2,1941.788344
Single-family,Landlords,C4,Oil fuel,E,C2,1733.598329
Single-family,Landlords,C5,Oil fuel,E,C2,921.9775205
Single-family,Landlords,C1,Oil fuel,D,C2,201.8144941
Single-family,Landlords,C2,Oil fuel,D,C2,362.6490233
Single-family,Landlords,C3,Oil fuel,D,C2,842.9446687
Single-family,Landlords,C4,Oil fuel,D,C2,1267.163094
Single-family,Landlords,C5,Oil fuel,D,C2,178.3066204
Single-family,Landlords,C1,Oil fuel,C,C2,38.70403874
Single-family,Landlords,C2,Oil fuel,C,C2,77.03998419
Single-family,Landlords,C3,Oil fuel,C,C2,370.5807072
Single-family,Landlords,C4,Oil fuel,C,C2,143.9454771
Single-family,Landlords,C5,Oil fuel,C,C2,90.54994508
Single-family,Landlords,C1,Oil fuel,B,C2,0
Single-family,Landlords,C2,Oil fuel,B,C2,0
Single-family,Landlords,C3,Oil fuel,B,C2,0
Single-family,Landlords,C4,Oil fuel,B,C2,0
Single-family,Landlords,C5,Oil fuel,B,C2,0
Single-family,Landlords,C1,Oil fuel,A,C2,0
Single-family,Landlords,C2,Oil fuel,A,C2,0
Single-family,Landlords,C3,Oil fuel,A,C2,0
Single-family,Landlords,C4,Oil fuel,A,C2,0
Single-family,Landlords,C5,Oil fuel,A,C2,0
Single-family,Landlords,C1,Oil fuel,G,C3,5691.318047
Single-family,Landlords,C2,Oil fuel,G,C3,3614.09172
Single-family,Landlords,C3,Oil fuel,G,C3,6683.227821
Single-family,Landlords,C4,Oil fuel,G,C3,1900.290958
Single-family,Landlords,C5,Oil fuel,G,C3,784.2597739
Single-family,Landlords,C1,Oil fuel,F,C3,2175.023966
Single-family,Landlords,C2,Oil fuel,F,C3,6288.373278
Single-family,Landlords,C3,Oil fuel,F,C3,6057.812667
Single-family,Landlords,C4,Oil fuel,F,C3,2715.152563
Single-family,Landlords,C5,Oil fuel,F,C3,1987.806589
Single-family,Landlords,C1,Oil fuel,E,C3,4092.308198
Single-family,Landlords,C2,Oil fuel,E,C3,5069.836138
Single-family,Landlords,C3,Oil fuel,E,C3,4284.841534
Single-family,Landlords,C4,Oil fuel,E,C3,3825.43965
Single-family,Landlords,C5,Oil fuel,E,C3,2034.478982
Single-family,Landlords,C1,Oil fuel,D,C3,445.3333595
Single-family,Landlords,C2,Oil fuel,D,C3,800.2384001
Single-family,Landlords,C3,Oil fuel,D,C3,1860.081373
Single-family,Landlords,C4,Oil fuel,D,C3,2796.181712
Single-family,Landlords,C5,Oil fuel,D,C3,393.4597793
Single-family,Landlords,C1,Oil fuel,C,C3,85.4061532
Single-family,Landlords,C2,Oil fuel,C,C3,170.0000544
Single-family,Landlords,C3,Oil fuel,C,C3,817.7408271
Single-family,Landlords,C4,Oil fuel,C,C3,317.6368634
Single-family,Landlords,C5,Oil fuel,C,C3,199.8117699
Single-family,Landlords,C1,Oil fuel,B,C3,0
Single-family,Landlords,C2,Oil fuel,B,C3,0
Single-family,Landlords,C3,Oil fuel,B,C3,0
Single-family,Landlords,C4,Oil fuel,B,C3,0
Single-family,Landlords,C5,Oil fuel,B,C3,0
Single-family,Landlords,C1,Oil fuel,A,C3,0
Single-family,Landlords,C2,Oil fuel,A,C3,0
Single-family,Landlords,C3,Oil fuel,A,C3,0
Single-family,Landlords,C4,Oil fuel,A,C3,0
Single-family,Landlords,C5,Oil fuel,A,C3,0
Single-family,Landlords,C1,Oil fuel,G,C4,10302.49764
Single-family,Landlords,C2,Oil fuel,G,C4,6542.275641
Single-family,Landlords,C3,Oil fuel,G,C4,12098.06556
Single-family,Landlords,C4,Oil fuel,G,C4,3439.931305
Single-family,Landlords,C5,Oil fuel,G,C4,1419.6772
Single-family,Landlords,C1,Oil fuel,F,C4,3937.256552
Single-family,Landlords,C2,Oil fuel,F,C4,11383.29475
Single-family,Landlords,C3,Oil fuel,F,C4,10965.93094
Single-family,Landlords,C4,Oil fuel,F,C4,4915.004334
Single-family,Landlords,C5,Oil fuel,F,C4,3598.353231
Single-family,Landlords,C1,Oil fuel,E,C4,7407.949302
Single-family,Landlords,C2,Oil fuel,E,C4,9177.483039
Single-family,Landlords,C3,Oil fuel,E,C4,7756.475641
Single-family,Landlords,C4,Oil fuel,E,C4,6924.860399
Single-family,Landlords,C5,Oil fuel,E,C4,3682.840203
Single-family,Landlords,C1,Oil fuel,D,C4,806.1482151
Single-family,Landlords,C2,Oil fuel,D,C4,1448.601916
Single-family,Landlords,C3,Oil fuel,D,C4,3367.143392
Single-family,Landlords,C4,Oil fuel,D,C4,5061.684349
Single-family,Landlords,C5,Oil fuel,D,C4,712.2459883
Single-family,Landlords,C1,Oil fuel,C,C4,154.6033247
Single-family,Landlords,C2,Oil fuel,C,C4,307.7363003
Single-family,Landlords,C3,Oil fuel,C,C4,1480.285036
Single-family,Landlords,C4,Oil fuel,C,C4,574.990364
Single-family,Landlords,C5,Oil fuel,C,C4,361.7018537
Single-family,Landlords,C1,Oil fuel,B,C4,0
Single-family,Landlords,C2,Oil fuel,B,C4,0
Single-family,Landlords,C3,Oil fuel,B,C4,0
Single-family,Landlords,C4,Oil fuel,B,C4,0
Single-family,Landlords,C5,Oil fuel,B,C4,0
Single-family,Landlords,C1,Oil fuel,A,C4,0
Single-family,Landlords,C2,Oil fuel,A,C4,0
Single-family,Landlords,C3,Oil fuel,A,C4,0
Single-family,Landlords,C4,Oil fuel,A,C4,0
Single-family,Landlords,C5,Oil fuel,A,C4,0
Single-family,Landlords,C1,Oil fuel,G,C5,24031.65112
Single-family,Landlords,C2,Oil fuel,G,C5,15260.54081
