Housing type,Occupancy status,Income class,Heating energy,Energy performance,Income class owner,Stock 2018
Single-family,Landlords,C1,Power,G,C1,3742.08992
Single-family,Landlords,C2,Power,G,C1,2376.29598
Single-family,Landlords,C3,Power,G,C1,4394.279015
Single-family,Landlords,C4,Power,G,C1,1249.457434
Single-family,Landlords,C5,Power,G,C1,515.6574576
Single-family,Landlords,C1,Power,F,C1,1046.419042
Single-family,Landlords,C2,Power,F,C1,3025.379787
Single-family,Landlords,C3,Power,F,C1,2914.455486
Single-family,Landlords,C4,Power,F,C1,1306.278639
Single-family,Landlords,C5,Power,F,C1,956.3474701
Single-family,Landlords,C1,Power,E,C1,2408.965611
Single-family,Landlords,C2,Power,E,C1,2984.394214
Single-family,Landlords,C3,Power,E,C1,2522.301695
Single-family,Landlords,C4,Power,E,C1,2251.871588
Single-family,Landlords,C5,Power,E,C1,1197.610167
Single-family,Landlords,C1,Power,D,C1,377.5147204
Single-family,Landlords,C2,Power,D,C1,678.3722114
Single-family,Landlords,C3,Power,D,C1,1576.814502
Single-family,Landlords,C4,Power,D,C1,2370.358597
Single-family,Landlords,C5,Power,D,C1,333.5408305
Single-family,Landlords,C1,Power,C,C1,61.69631862
Single-family,Landlords,C2,Power,C,C1,122.8058767
Single-family,Landlords,C3,Power,C,C1,590.725571
Single-family,Landlords,C4,Power,C,C1,229.4568295
Single-family,Landlords,C5,Power,C,C1,144.3414807
Single-family,Landlords,C1,Power,B,C1,0
Single-family,Landlords,C2,Power,B,C1,0
Single-family,Landlords,C3,Power,B,C1,0
Single-family,Landlords,C4,Power,B,C1,0
Single-family,Landlords,C5,Power,B,C1,0
Single-family,Landlords,C1,Power,A,C1,0
Single-family,Landlords,C2,Power,A,C1,0
Single-family,Landlords,C3,Power,A,C1,0
Single-family,Landlords,C4,Power,A,C1,0
Single-family,Landlords,C5,Power,A,C1,0
Single-family,Landlords,C1,Power,G,C2,4380.628926
Single-family,Landlords,C2,Power,G,C2,2781.780003
Single-family,Landlords,C3,Power,G,C2,5144.105613
Single-family,Landlords,C4,Power,G,C2,1462.661104
Single-family,Landlords,C5,Power,G,C2,603.6477003
Single-family,Landlords,C1,Power,F,C2,1224.97685
Single-family,Landlords,C2,Power,F,C2,3541.621522
Single-family,Landlords,C3,Power,F,C2,3411.769431
Single-family,Landlords,C4,Power,F,C2,1529.178108
Single-family,Landlords,C5,Power,F,C2,1119.535735
Single-family,Landlords,C1,Power,E,C2,2820.024279
Single-family,Landlords,C2,Power,E,C2,3493.642294
Single-family,Landlords,C3,Power,E,C2,2952.699693
Single-family,Landlords,C4,Power,E,C2,2636.124204
Single-family,Landlords,C5,Power,E,C2,1401.966775
Single-family,Landlords,C1,Power,D,C2,441.9327004
Single-family,Landlords,C2,Power,D,C2,794.1276115
Single-family,Landlords,C3,Power,D,C2,1845.877401
Single-family,Landlords,C4,Power,D,C2,2774.829481
Single-family,Landlords,C5,Power,D,C2,390.4552377
Single-family,Landlords,C1,Power,C,C2,72.22399349
Single-family,Landlords,C2,Power,C,C2,143.7611034
Single-family,Landlords,C3,Power,C,C2,691.5252117
Single-family,Landlords,C4,Power,C,C2,268.610655
Single-family,Landlords,C5,Power,C,C2,168.9714783
Single-family,Landlords,C1,Power,B,C2,0
Single-family,Landlords,C2,Power,B,C2,0
Single-family,Landlords,C3,Power,B,C2,0
Single-family,Landlords,C4,Power,B,C2,0
Single-family,Landlords,C5,Power,B,C2,0
Single-family,Landlords,C1,Power,A,C2,0
Single-family,Landlords,C2,Power,A,C2,0
Single-family,Landlords,C3,Power,A,C2,0
Single-family,Landlords,C4,Power,A,C2,0
Single-family,Landlords,C5,Power,A,C2,0
Single-family,Landlords,C1,Power,G,C3,9666.501929
Single-family,Landlords,C2,Power,G,C3,6138.406657
Single-family,Landlords,C3,Power,G,C3,11351.22551
Single-family,Landlords,C4,Power,G,C3,3227.576822
Single-family,Landlords,C5,Power,G,C3,1332.037422
Single-family,Landlords,C1,Power,F,C3,2703.091562
Single-family,Landlords,C2,Power,F,C3,7815.108712
Single-family,Landlords,C3,Power,F,C3,7528.570976
Single-family,Landlords,C4,Power,F,C3,3374.356374
Single-family,Landlords,C5,Power,F,C3,2470.420235
Single-family,Landlords,C1,Power,E,C3,6222.798277
Single-family,Landlords,C2,Power,E,C3,7709.235487
Single-family,Landlords,C3,Power,E,C3,6515.566088
Single-family,Landlords,C4,Power,E,C3,5816.995717
Single-family,Landlords,C5,Power,E,C3,3093.645858
Single-family,Landlords,C1,Power,D,C3,975.1894926
Single-family,Landlords,C2,Power,D,C3,1752.359357
Single-family,Landlords,C3,Power,D,C3,4073.199933
Single-family,Landlords,C4,Power,D,C3,6123.069306
Single-family,Landlords,C5,Power,D,C3,861.5969011
Single-family,Landlords,C1,Power,C,C3,159.3728627
Single-family,Landlords,C2,Power,C,C3,317.2300158
Single-family,Landlords,C3,Power,C,C3,1525.952074
Single-family,Landlords,C4,Power,C,C3,592.7289115
Single-family,Landlords,C5,Power,C,C3,372.8604155
Single-family,Landlords,C1,Power,B,C3,0
Single-family,Landlords,C2,Power,B,C3,0
Single-family,Landlords,C3,Power,B,C3,0
Single-family,Landlords,C4,Power,B,C3,0
Single-family,Landlords,C5,Power,B,C3,0
Single-family,Landlords,C1,Power,A,C3,0
Single-family,Landlords,C2,Power,A,C3,0
Single-family,Landlords,C3,Power,A,C3,0
Single-family,Landlords,C4,Power,A,C3,0
Single-family,Landlords,C5,Power,A,C3,0
Single-family,Landlords,C1,Power,G,C4,17498.42699
Single-family,Landlords,C2,Power,G,C4,11111.82323
Single-family,Landlords,C3,Power,G,C4,20548.13544
Single-family,Landlords,C4,Power,G,C4,5842.601364
Single-family,Landlords,C5,Power,G,C4,2411.271392
Single-family,Landlords,C1,Power,F,C4,4893.171354
Single-family,Landlords,C2,Power,F,C4,14147.01101
Single-family,Landlords,C3,Power,F,C4,13628.31669
Single-family,Landlords,C4,Power,F,C4,6108.303611
Single-family,Landlords,C5,Power,F,C4,4471.986705
Single-family,Landlords,C1,Power,E,C4,11264.59004
Single-family,Landlords,C2,Power,E,C4,13955.35793
Single-family,Landlords,C3,Power,E,C4,11794.56212
Single-family,Landlords,C4,Power,E,C4,10530.00099
Single-family,Landlords,C5,Power,E,C4,5600.1578
Single-family,Landlords,C1,Power,D,C4,1765.30065
Single-family,Landlords,C2,Power,D,C4,3172.143603
Single-family,Landlords,C3,Power,D,C4,7373.359274
Single-family,Landlords,C4,Power,D,C4,11084.05936
Single-family,Landlords,C5,Power,D,C4,1559.67387
Single-family,Landlords,C1,Power,C,C4,288.4988201
Single-family,Landlords,C2,Power,C,C4,574.2538831
Single-family,Landlords,C3,Power,C,C4,2762.298206
Single-family,Landlords,C4,Power,C,C4,1072.965552
Single-family,Landlords,C5,Power,C,C4,674.956753
Single-family,Landlords,C1,Power,B,C4,0
Single-family,Landlords,C2,Power,B,C4,0
Single-family,Landlords,C3,Power,B,C4,0
Single-family,Landlords,C4,Power,B,C4,0
Single-family,Landlords,C5,Power,B,C4,0
Single-family,Landlords,C1,Power,A,C4,0
Single-family,Landlords,C2,Power,A,C4,0
Single-family,Landlords,C3,Power,A,C4,0
Single-family,Landlords,C4,Power,A,C4,0
Single-family,Landlords,C5,Power,A,C4,0
Single-family,Landlords,C1,Power,G,C5,40816.90742
Single-family,Landlords,C2,Power,G,C5,25919.48753
Single-family,Landlords,C3,Power,G,C5,47930.67071
Single-family,Landlords,C4,Power,G,C5,13628.47753
Single-family,Landlords,C5,Power,G,C5,5624.542209
Single-family,Landlords,C1,Power,F,C5,11413.83293
Single-family,Landlords,C2,Power,F,C5,32999.37984
Single-family,Landlords,C3,Power,F,C5,31789.47119
Single-family,Landlords,C4,Power,F,C5,14248.25576
Single-family,Landlords,C5,Power,F,C5,10431.37577
Single-family,Landlords,C1,Power,E,C5,26275.83204
Single-family,Landlords,C2,Power,E,C5,32552.329
Single-family,Landlords,C3,Power,E,C5,27512.04725
Single-family,Landlords,C4,Power,E,C5,24562.32641
Single-family,Landlords,C5,Power,E,C5,13062.9526
Single-family,Landlords,C1,Power,D,C5,4117.748028
Single-family,Landlords,C2,Power,D,C5,7399.356062
Single-family,Landlords,C3,Power,D,C5,17199.13014
Single-family,Landlords,C4,Power,D,C5,25854.72541
Single-family,Landlords,C5,Power,D,C5,3638.102099
Single-family,Landlords,C1,Power,C,C5,672.9536113
Single-family,Landlords,C2,Power,C,C5,1339.507123
Single-family,Landlords,C3,Power,C,C5,6443.348894
Single-family,Landlords,C4,Power,C,C5,2502.804146
Single-family,Landlords,C5,Power,C,C5,1574.407078
Single-family,Landlords,C1,Power,B,C5,0
Single-family,Landlords,C2,Power,B,C5,0
Single-family,Landlords,C3,Power,B,C5,0
Single-family,Landlords,C4,Power,B,C5,0
Single-family,Landlords,C5,Power,B,C5,0
Single-family,Landlords,C1,Power,A,C5,0
Single-family,Landlords,C2,Power,A,C5,0
Single-family,Landlords,C3,Power,A,C5,0
Single-family,Landlords,C4,Power,A,C5,0
Single-family,Landlords,C5,Power,A,C5,0
Single-family,Landlords,C1,Natural gas,G,C1,1183.631948
Single-family,Landlords,C2,Natural gas,G,C1,751.6280743
Single-family,Landlords,C3,Natural gas,G,C1,1389.920911
Single-family,Landlords,C4,Natural gas,G,C1,395.20636
Single-family,Landlords,C5,Natural gas,G,C1,163.1036811
Single-family,Landlords,C1,Natural gas,F,C1,345.2616225
Single-family,Landlords,C2,Natural gas,F,C1,998.2115115
Single-family,Landlords,C3,Natural gas,F,C1,961.6124984
Single-family,Landlords,C4,Natural gas,F,C1,431.0012183
Single-family,Landlords,C5,Natural gas,F,C1,315.5428808
Single-family,Landlords,C1,Natural gas,E,C1,2163.894186
Single-family,Landlords,C2,Natural gas,E,C1,2680.782681
Single-family,Landlords,C3,Natural gas,E,C1,2265.700245
Single-family,Landlords,C4,Natural gas,E,C1,2022.781818
Single-family,Landlords,C5,Natural gas,E,C1,1075.773629
Single-family,Landlords,C1,Natural gas,D,C1,255.9530135
Single-family,Landlords,C2,Natural gas,D,C1,459.9328247
Single-family,Landlords,C3,Natural gas,D,C1,1069.072016
Single-family,Landlords,C4,Natural gas,D,C1,1607.090778
Single-family,Landlords,C5,Natural gas,D,C1,226.1389452
Single-family,Landlords,C1,Natural gas,C,C1,410.3834315
Single-family,Landlords,C2,Natural gas,C,C1,816.8639269
Single-family,Landlords,C3,Natural gas,C,C1,3929.310409
Single-family,Landlords,C4,Natural gas,C,C1,1526.270662
Single-family,Landlords,C5,Natural gas,C,C1,960.1116161
Single-family,Landlords,C1,Natural gas,B,C1,57.24505566
Single-family,Landlords,C2,Natural gas,B,C1,114.4901113
Single-family,Landlords,C3,Natural gas,B,C1,457.9604453
Single-family,Landlords,C4,Natural gas,B,C1,343.4703339
Single-family,Landlords,C5,Natural gas,B,C1,171.735167
Single-family,Landlords,C1,Natural gas,A,C1,0
