,G,F,E,D,C,B,A
G,,0.6010029,0.259434397,0.117090137,0.011685362,0.010787204,0
F,,,0.60673884,0.29257194,0.09078547,0.00990375,0
E,,,,0.789078401,0.144082953,0.058782919,0.008055727
D,,,,,0.799226269,0.178437505,0.022336227
C,,,,,,0.864178426,0.135821574
