,G,F,E,D,C,B,A
G,,100,179.2368421,264,356.2105263,461.2105263,581.4473684
F,,,82.89473684,171.5,267.7894737,377.2368421,502.3684211
E,,,,92.10526316,192.1315789,305.6842105,435.3684211
D,,,,,103.9473684,221.7894737,356.2105263
C,,,,,,122.3684211,261.7631579
B,,,,,,,144.7368421
A,,,,,,,
