,G,F,E,D,C,B,A
G,,110,197.1605263,290.4,391.8315789,507.3315789,639.5921052
F,,,91.18421052,188.65,294.5684211,414.9605263,552.6052632
E,,,,101.3157895,211.3447368,336.2526316,478.9052632
D,,,,,114.3421052,243.9684211,391.8315789
C,,,,,,134.6052632,287.9394737
B,,,,,,,159.2105263
A,,,,,,,
