,Power,Natural gas,Oil fuel,Wood fuel
2012,120,206,271,0
2013,120,206,271,0
2014,120,206,271,0
2015,120,206,271,0
2016,120,206,271,0
2017,120,206,271,0
2018,120,206,271,0
2019,120,206,271,0
2020,120,206,271,0
2021,120,206,271,0
2022,120,206,271,0
2023,120,206,271,0
2024,120,206,271,0
2025,120,206,271,0
2026,120,206,271,0
2027,120,206,271,0
2028,120,206,271,0
2029,120,206,271,0
2030,120,206,271,0
2031,120,206,271,0
2032,120,206,271,0
2033,120,206,271,0
2034,120,206,271,0
2035,120,206,271,0
2036,120,206,271,0
2037,120,206,271,0
2038,120,206,271,0
2039,120,206,271,0
2040,120,206,271,0
2041,120,206,271,0
2042,120,206,271,0
2043,120,206,271,0
2044,120,206,271,0
2045,120,206,271,0
2046,120,206,271,0
2047,120,206,271,0
2048,120,206,271,0
2049,120,206,271,0
2050,120,206,271,0
