,Phébus-Clode,Phébus-DPE,CEREN
Data source    ,In-home survey including over 500 questions and energy bills.,EPC audit realized among voluntary households that participated in the Clode survey,Census data supplemented by household and retrofit contractor surveys.
Sample size,"5,405 dwellings ","2,389 dwellings (from the 5,405 of the Clode sample)","3,000 (2,000 in existing dwellings and 800 in new ones)"
Stakeholders,"Management : SoeS, Veritas pour DPE, Ipsos pour Clode. Funding : EDF, Total, Leclerc, ANAH, ADEME.",,CEREN
