,F,E,D,C,B,A
G,76.0,136.2,200.6,270.7,350.5,441.9
F,,63.0,130.3,203.5,286.7,381.8
E,,,70.0,146.0,232.3,330.9
D,,,,79.0,168.6,270.7
C,,,,,93.0,198.9
B,,,,,,110.0
