,Electricity,Natural gas,Fuel oil,Fuel wood,TOTAL
CEREN values to be reproduced in 2012 (TWhEF),44.4,119.7,55.5,73.3,292.9
Correction factor applied to Res-IRF 3.0,0.79,1.06,1.03,2.14,1.14
