,G,F,E,D,C,B,A
G,,0.25,0.27,0.27,0.2098,0.0001,0.0001
F,,,0.404,0.263,0.313,0.0199,0.0001
E,,,,0.66,0.28,0.0599,0.0001
D,,,,,0.95,0.0499,0.0001
C,,,,,,0.9091,0.0909
B,,,,,,,1
A,,,,,,,
