,F,E,D,C,B,A
G,11%,10%,8%,7%,6%,5%
F,,8%,6%,5%,4%,3%
E,,,5%,4%,3%,2%
D,,,,3%,2%,2%
C,,,,,2%,1%
B,,,,,,1%
