,Power,Natural gas,Oil fuel,Wood fuel
2018,147,227,325,30
2019,147,227,325,30
2020,147,227,325,30
2021,147,227,325,30
2022,147,227,325,30
2023,147,227,325,30
2024,147,227,325,30
2025,147,227,325,30
2026,147,227,325,30
2027,147,227,325,30
2028,147,227,325,30
2029,147,227,325,30
2030,147,227,325,30
2031,139.65,215.65,325,30
2032,132.3,204.3,325,30
2033,124.95,192.95,325,30
2034,117.6,181.6,325,30
2035,110.25,170.25,325,30
2036,102.9,158.9,325,30
2037,95.55,147.55,325,30
2038,88.2,136.2,325,30
2039,80.85,124.85,325,30
2040,73.5,113.5,325,30
2041,66.15,102.15,325,30
2042,58.8,90.8,325,30
2043,51.45,79.45,325,30
2044,44.1,68.1,325,30
2045,36.75,56.75,325,30
2046,29.4,45.4,325,30
2047,22.05,34.05,325,30
2048,14.7,22.7,325,30
2049,7.35,11.35,325,30
2050,0,0,325,30
2051,0,0,325,30
2052,0,0,325,30
2053,0,0,325,30
2054,0,0,325,30
2055,0,0,325,30
2056,0,0,325,30
2057,0,0,325,30
2058,0,0,325,30
2059,0,0,325,30
2060,0,0,325,30
2061,0,0,325,30
2062,0,0,325,30
2063,0,0,325,30
2064,0,0,325,30
2065,0,0,325,30
2066,0,0,325,30
2067,0,0,325,30
2068,0,0,325,30
2069,0,0,325,30
2070,0,0,325,30
2071,0,0,325,30
2072,0,0,325,30
2073,0,0,325,30
2074,0,0,325,30
2075,0,0,325,30
2076,0,0,325,30
2077,0,0,325,30
2078,0,0,325,30
2079,0,0,325,30
2080,0,0,325,30
