,G,F,E,D,C,B,A
G,0,76,136.22,200.64,270.72,350.52,441.9
F,,0,63,130.34,203.52,286.7,381.8
E,,,0,70,146.02,232.32,330.88
D,,,,0,79,168.56,270.72
C,,,,,0,93,198.94
B,,,,,,0,110
A,,,,,,,0
