Heating energy,Power,Natural gas,Oil fuel,Wood fuel
2018,0.12,0.0607,0.06055,0.05593
2019,0.12072,0.06216894,0.0624876,0.05660116
2020,0.12144432,0.063673428,0.064487203,0.057280374
2021,0.122172986,0.065214325,0.066550794,0.057967738
2022,0.122906024,0.066792512,0.068680419,0.058663351
2023,0.12364346,0.068408891,0.070878193,0.059367311
2024,0.124385321,0.070064386,0.073146295,0.060079719
2025,0.125131633,0.071759944,0.075486976,0.060800676
2026,0.125882422,0.073496535,0.077902559,0.061530284
2027,0.126637717,0.075275151,0.080395441,0.062268647
2028,0.127397543,0.07709681,0.082968095,0.063015871
2029,0.128161929,0.078962552,0.085623074,0.063772062
2030,0.1289309,0.080873446,0.088363013,0.064537326
2031,0.129704486,0.082830583,0.091190629,0.065311774
2032,0.130482712,0.084835084,0.094108729,0.066095516
2033,0.131265609,0.086888093,0.097120209,0.066888662
2034,0.132053202,0.088990784,0.100228055,0.067691326
2035,0.132845522,0.091144361,0.103435353,0.068503622
2036,0.133642595,0.093350055,0.106745284,0.069325665
2037,0.13444445,0.095609126,0.110161134,0.070157573
2038,0.135251117,0.097922867,0.11368629,0.070999464
2039,0.136062624,0.100292601,0.117324251,0.071851457
2040,0.136878999,0.102719681,0.121078627,0.072713675
2041,0.137700273,0.105205498,0.124953143,0.073586239
2042,0.138526475,0.107751471,0.128951644,0.074469274
2043,0.139357634,0.110359056,0.133078096,0.075362905
2044,0.14019378,0.113029746,0.137336595,0.07626726
2045,0.141034942,0.115765065,0.141731366,0.077182467
2046,0.141881152,0.11856658,0.14626677,0.078108657
2047,0.142732439,0.121435891,0.150947307,0.079045961
2048,0.143588834,0.12437464,0.155777621,0.079994512
2049,0.144450367,0.127384506,0.160762505,0.080954446
2050,0.145317069,0.130467211,0.165906905,0.0819259
2051,0.146188971,0.133624518,0.171215926,0.08290901
2052,0.147066105,0.136858231,0.176694835,0.083903919
2053,0.147948502,0.1401702,0.18234907,0.084910766
2054,0.148836193,0.143562319,0.18818424,0.085929695
2055,0.14972921,0.147036527,0.194206136,0.086960851
2056,0.150627585,0.150594811,0.200420732,0.088004381
2057,0.151531351,0.154239206,0.206834196,0.089060434
2058,0.152440539,0.157971794,0.21345289,0.090129159
2059,0.153355182,0.161794712,0.220283382,0.091210709
2060,0.154275313,0.165710144,0.227332451,0.092305238
2061,0.155200965,0.169720329,0.234607089,0.0934129
2062,0.156132171,0.173827561,0.242114516,0.094533855
2063,0.157068964,0.178034188,0.24986218,0.095668262
2064,0.158011378,0.182342616,0.25785777,0.096816281
2065,0.158959446,0.186755307,0.266109219,0.097978076
2066,0.159913202,0.191274785,0.274624714,0.099153813
2067,0.160872682,0.195903635,0.283412705,0.100343659
2068,0.161837918,0.200644503,0.292481911,0.101547783
2069,0.162808945,0.2055001,0.301841332,0.102766356
2070,0.163785799,0.210473202,0.311500255,0.103999552
2071,0.164768514,0.215566654,0.321468263,0.105247547
2072,0.165757125,0.220783367,0.331755248,0.106510517
2073,0.166751668,0.226126324,0.342371416,0.107788644
2074,0.167752178,0.231598581,0.353327301,0.109082107
2075,0.168758691,0.237203267,0.364633775,0.110391093
2076,0.169771243,0.242943586,0.376302055,0.111715786
2077,0.17078987,0.248822821,0.388343721,0.113056375
2078,0.171814609,0.254844333,0.40077072,0.114413052
2079,0.172845497,0.261011566,0.413595383,0.115786008
2080,0.17388257,0.267328046,0.426830435,0.11717544
