Heating energy,Power,Natural gas,Oil fuel,Wood fuel
2018,0.18159,0.084512,0.0914,0.067116
2019,0.18540339,0.086286752,0.0933194,0.068525436
2020,0.189296861,0.088098774,0.095279107,0.06996447
2021,0.193272095,0.089948848,0.097279969,0.071433724
2022,0.197330809,0.091837774,0.099322848,0.072933832
2023,0.201474756,0.093766367,0.101408628,0.074465443
2024,0.205705726,0.095735461,0.103538209,0.076029217
2025,0.210025546,0.097745905,0.105712511,0.077625831
2026,0.214436083,0.09979857,0.107932474,0.079255973
2027,0.218939241,0.101894339,0.110199056,0.080920348
2028,0.223536965,0.104034121,0.112513236,0.082619676
2029,0.228231241,0.106218837,0.114876014,0.084354689
2030,0.233024097,0.108449433,0.117288411,0.086126137
2031,0.237917603,0.110726871,0.119751467,0.087934786
2032,0.242913873,0.113052135,0.122266248,0.089781417
2033,0.248015064,0.11542623,0.124833839,0.091666827
2034,0.25322338,0.117850181,0.12745535,0.09359183
2035,0.258541071,0.120325035,0.130131912,0.095557258
2036,0.263970434,0.12285186,0.132864682,0.097563961
2037,0.269513813,0.125431749,0.135654841,0.099612804
2038,0.275173603,0.128065816,0.138503592,0.101704673
2039,0.280952249,0.130755198,0.141412168,0.103840471
2040,0.286852246,0.133501057,0.144381823,0.106021121
2041,0.292876143,0.13630458,0.147413841,0.108247564
2042,0.299026542,0.139166976,0.150509532,0.110520763
2043,0.305306099,0.142089482,0.153670232,0.112841699
2044,0.311717528,0.145073361,0.156897307,0.115211375
2045,0.318263596,0.148119902,0.160192151,0.117630814
2046,0.324947131,0.15123042,0.163556186,0.120101061
2047,0.331771021,0.154406259,0.166990866,0.122623183
2048,0.338738212,0.15764879,0.170497674,0.12519827
2049,0.345851715,0.160959415,0.174078125,0.127827434
2050,0.353114601,0.164339562,0.177733766,0.13051181
2051,0.360530007,0.167790693,0.181466175,0.133252558
2052,0.368101138,0.171314298,0.185276964,0.136050862
2053,0.375831261,0.174911898,0.189167781,0.13890793
2054,0.383723718,0.178585048,0.193140304,0.141824996
2055,0.391781916,0.182335334,0.19719625,0.144803321
2056,0.400009336,0.186164376,0.201337372,0.147844191
2057,0.408409532,0.190073828,0.205565457,0.150948919
2058,0.416986133,0.194065378,0.209882331,0.154118846
2059,0.425742841,0.198140751,0.21428986,0.157355342
2060,0.434683441,0.202301707,0.218789947,0.160659804
2061,0.443811793,0.206550043,0.223384536,0.16403366
2062,0.453131841,0.210887594,0.228075611,0.167478367
2063,0.46264761,0.215316233,0.232865199,0.170995413
2064,0.472363209,0.219837874,0.237755368,0.174586316
2065,0.482282837,0.224454469,0.242748231,0.178252629
2066,0.492410776,0.229168013,0.247845944,0.181995934
2067,0.502751403,0.233980542,0.253050709,0.185817849
2068,0.513309182,0.238894133,0.258364774,0.189720023
2069,0.524088675,0.24391091,0.263790434,0.193704144
2070,0.535094537,0.249033039,0.269330033,0.197771931
2071,0.546331522,0.254262733,0.274985964,0.201925142
2072,0.557804484,0.25960225,0.280760669,0.20616557
2073,0.569518378,0.265053897,0.286656643,0.210495046
2074,0.581478264,0.270620029,0.292676432,0.214915442
2075,0.593689308,0.27630305,0.298822638,0.219428667
2076,0.606156783,0.282105414,0.305097913,0.224036669
2077,0.618886076,0.288029627,0.311504969,0.228741439
2078,0.631882683,0.29407825,0.318046573,0.233545009
2079,0.64515222,0.300253893,0.324725551,0.238449454
2080,0.658700416,0.306559225,0.331544788,0.243456893
