Year,Power,Natural gas,Oil fuel,Wood fuel
2018,0.064974,0.01303464,0.013006,0.00559
2019,0.067022,0.014304258,0.013006,0.00559
2020,0.06727533,0.014421534,0.013788135,0.005742252
2021,0.067531447,0.01453997,0.014055903,0.00589865
2022,0.067790381,0.014659576,0.014329425,0.006059309
2023,0.068052163,0.014780365,0.014608823,0.006224343
2024,0.068316825,0.014902348,0.014894224,0.006393872
2025,0.068584398,0.015031234,0.015125634,0.006567246
2026,0.068854914,0.015161453,0.015360991,0.006745322
2027,0.069128406,0.015293019,0.015600362,0.006928227
2028,0.069404906,0.015425946,0.015843815,0.007116091
2029,0.069684448,0.015560248,0.016091421,0.007309049
2030,0.069967065,0.015649192,0.016205655,0.007507927
2031,0.070252791,0.015738738,0.016320773,0.007712217
2032,0.07054166,0.015828892,0.016436781,0.007922066
2033,0.070833706,0.015919658,0.016553687,0.008137625
2034,0.071128965,0.016011038,0.016671498,0.008359049
2035,0.071427471,0.016103039,0.01679022,0.008586498
2036,0.071729262,0.016195663,0.016909861,0.008820136
2037,0.072034372,0.016288915,0.017030427,0.009060131
2038,0.072342838,0.016382799,0.017151926,0.009306656
2039,0.072654697,0.01647732,0.017274364,0.009559889
2040,0.072969986,0.016522513,0.017331857,0.009819967
2041,0.073288744,0.016567851,0.017389558,0.01008712
2042,0.073611009,0.016613336,0.017447466,0.010361541
2043,0.073936818,0.016658967,0.017505583,0.010643428
2044,0.074266211,0.016704745,0.017563909,0.010932984
2045,0.074599227,0.016750671,0.017622446,0.011230417
2046,0.074935906,0.016796744,0.017681193,0.011535941
2047,0.075276289,0.016842965,0.017740153,0.011849778
2048,0.075620417,0.016889336,0.017799325,0.012172152
2049,0.075968329,0.016935856,0.01785871,0.012503296
2050,0.076320069,0.016982525,0.01791831,0.01284345
2051,0.076675678,0.017029345,0.017978124,0.013192857
2052,0.077035198,0.017076316,0.018038154,0.01355177
2053,0.077398673,0.017123438,0.0180984,0.013920447
2054,0.077766147,0.017170711,0.018158864,0.014299155
2055,0.078137662,0.017218137,0.018219545,0.014688164
2056,0.078513264,0.017265716,0.018280445,0.015087757
2057,0.078892998,0.017313447,0.018341565,0.015498221
2058,0.079276909,0.017361333,0.018402905,0.015919852
2059,0.079665043,0.017409372,0.018464466,0.016352953
2060,0.080057447,0.017457567,0.01852625,0.016797837
2061,0.080454167,0.017505916,0.018588255,0.017254824
2062,0.080855251,0.017554421,0.018650485,0.017724243
2063,0.081260746,0.017603083,0.018712939,0.018206432
2064,0.081670703,0.017651901,0.018775617,0.01870174
2065,0.082085168,0.017700876,0.018838522,0.019210523
2066,0.082504193,0.017750009,0.018901654,0.019733147
2067,0.082927827,0.0177993,0.018965013,0.020269989
2068,0.083356121,0.01784875,0.019028601,0.020821436
2069,0.083789127,0.017898359,0.019092417,0.021387886
2070,0.084226895,0.017948128,0.019156464,0.021969745
2071,0.084664875,0.017998383,0.019221596,0.022567322
2072,0.085105132,0.018048778,0.019286949,0.023181153
2073,0.085547679,0.018099315,0.019352525,0.023811681
2074,0.085992527,0.018149993,0.019418324,0.024459358
2075,0.086439688,0.018200813,0.019484346,0.025124653
2076,0.086889174,0.018251775,0.019550593,0.025808043
2077,0.087340998,0.01830288,0.019617065,0.026510022
2078,0.087795171,0.018354128,0.019683763,0.027231095
2079,0.088251706,0.01840552,0.019750688,0.027971781
2080,0.088710615,0.018457055,0.01981784,0.028732613
