Heating energy,Power,Natural gas,Oil fuel,Wood fuel
2018,0.12,0.0607,0.06055,0.05593
2019,0.12252,0.06125844,0.06157935,0.05660116
2020,0.12509292,0.061822018,0.062626199,0.057280374
2021,0.127719871,0.06239078,0.063690844,0.057967738
2022,0.130401989,0.062964775,0.064773589,0.058663351
2023,0.13314043,0.063544051,0.06587474,0.059367311
2024,0.135936379,0.064128657,0.06699461,0.060079719
2025,0.138791043,0.06471864,0.068133519,0.060800676
2026,0.141705655,0.065314052,0.069291788,0.061530284
2027,0.144681474,0.065914941,0.070469749,0.062268647
2028,0.147719785,0.066521358,0.071667735,0.063015871
2029,0.1508219,0.067133355,0.072886086,0.063772062
2030,0.15398916,0.067750982,0.07412515,0.064537326
2031,0.157222933,0.068374291,0.075385277,0.065311774
2032,0.160524614,0.069003334,0.076666827,0.066095516
2033,0.163895631,0.069638165,0.077970163,0.066888662
2034,0.16733744,0.070278836,0.079295656,0.067691326
2035,0.170851526,0.070925401,0.080643682,0.068503622
2036,0.174439408,0.071577915,0.082014624,0.069325665
2037,0.178102635,0.072236432,0.083408873,0.070157573
2038,0.181842791,0.072901007,0.084826824,0.070999464
2039,0.185661489,0.073571696,0.08626888,0.071851457
2040,0.189560381,0.074248556,0.087735451,0.072713675
2041,0.193541149,0.074931643,0.089226953,0.073586239
2042,0.197605513,0.075621014,0.090743812,0.074469274
2043,0.201755228,0.076316727,0.092286456,0.075362905
2044,0.205992088,0.077018841,0.093855326,0.07626726
2045,0.210317922,0.077727414,0.095450867,0.077182467
2046,0.214734598,0.078442507,0.097073531,0.078108657
2047,0.219244025,0.079164178,0.098723782,0.079045961
2048,0.22384815,0.079892488,0.100402086,0.079994512
2049,0.228548961,0.080627499,0.102108921,0.080954446
2050,0.233348489,0.081369272,0.103844773,0.0819259
2051,0.238248807,0.082117869,0.105610134,0.08290901
2052,0.243252032,0.082873354,0.107405506,0.083903919
2053,0.248360325,0.083635788,0.1092314,0.084910766
2054,0.253575892,0.084405238,0.111088334,0.085929695
2055,0.258900985,0.085181766,0.112976835,0.086960851
2056,0.264337906,0.085965438,0.114897442,0.088004381
2057,0.269889002,0.08675632,0.116850698,0.089060434
2058,0.275556671,0.087554478,0.11883716,0.090129159
2059,0.281343361,0.08835998,0.120857392,0.091210709
2060,0.287251572,0.089172891,0.122911967,0.092305238
2061,0.293283855,0.089993282,0.125001471,0.0934129
2062,0.299442816,0.09082122,0.127126496,0.094533855
2063,0.305731115,0.091656775,0.129287646,0.095668262
2064,0.312151468,0.092500018,0.131485536,0.096816281
2065,0.318706649,0.093351018,0.13372079,0.097978076
2066,0.325399489,0.094209847,0.135994044,0.099153813
2067,0.332232878,0.095076578,0.138305943,0.100343659
2068,0.339209768,0.095951282,0.140657144,0.101547783
2069,0.346333174,0.096834034,0.143048315,0.102766356
2070,0.35360617,0.097724907,0.145480136,0.103999552
2071,0.3610319,0.098623976,0.147953299,0.105247547
2072,0.36861357,0.099531317,0.150468505,0.106510517
2073,0.376354455,0.100447005,0.153026469,0.107788644
2074,0.384257898,0.101371118,0.155627919,0.109082107
2075,0.392327314,0.102303732,0.158273594,0.110391093
2076,0.400566188,0.103244926,0.160964245,0.111715786
2077,0.408978078,0.10419478,0.163700637,0.113056375
2078,0.417566617,0.105153371,0.166483548,0.114413052
2079,0.426335516,0.106120782,0.169313768,0.115786008
2080,0.435288562,0.107097094,0.172192102,0.11717544
