Heating energy,Power,Natural gas,Oil fuel,Wood fuel
2018,0.18159,0.084512,0.0914,0.067116
2019,0.18267954,0.08655719,0.0943248,0.067921392
2020,0.183775617,0.088651874,0.097343194,0.068736449
2021,0.184878271,0.09079725,0.100458176,0.069561286
2022,0.185987541,0.092994543,0.103672837,0.070396022
2023,0.187103466,0.095245011,0.106990368,0.071240774
2024,0.188226087,0.09754994,0.11041406,0.072095663
2025,0.189355443,0.099910649,0.11394731,0.072960811
2026,0.190491576,0.102328487,0.117593624,0.073836341
2027,0.191634525,0.104804836,0.12135662,0.074722377
2028,0.192784332,0.107341113,0.125240032,0.075619045
2029,0.193941038,0.109938768,0.129247713,0.076526474
2030,0.195104685,0.112599286,0.133383639,0.077444792
2031,0.196275313,0.115324189,0.137651916,0.078374129
2032,0.197452965,0.118115034,0.142056777,0.079314619
2033,0.198637682,0.120973418,0.146602594,0.080266394
2034,0.199829508,0.123900975,0.151293877,0.081229591
2035,0.201028486,0.126899378,0.156135281,0.082204346
2036,0.202234656,0.129970343,0.16113161,0.083190798
2037,0.203448064,0.133115626,0.166287822,0.084189088
2038,0.204668753,0.136337024,0.171609032,0.085199357
2039,0.205896765,0.13963638,0.177100521,0.086221749
2040,0.207132146,0.14301558,0.182767738,0.08725641
2041,0.208374939,0.146476557,0.188616305,0.088303487
2042,0.209625188,0.15002129,0.194652027,0.089363129
2043,0.21088294,0.153651805,0.200880892,0.090435486
2044,0.212148237,0.157370179,0.20730908,0.091520712
2045,0.213421127,0.161178537,0.213942971,0.092618961
2046,0.214701653,0.165079058,0.220789146,0.093730388
2047,0.215989863,0.169073971,0.227854399,0.094855153
2048,0.217285802,0.173165561,0.23514574,0.095993415
2049,0.218589517,0.177356168,0.242670403,0.097145336
2050,0.219901054,0.181648187,0.250435856,0.09831108
2051,0.221220461,0.186044073,0.258449804,0.099490813
2052,0.222547783,0.19054634,0.266720197,0.100684702
2053,0.22388307,0.195157561,0.275255244,0.101892919
2054,0.225226369,0.199880374,0.284063411,0.103115634
2055,0.226577727,0.204717479,0.293153441,0.104353021
2056,0.227937193,0.209671642,0.302534351,0.105605258
2057,0.229304816,0.214745696,0.31221545,0.106872521
2058,0.230680645,0.219942542,0.322206344,0.108154991
2059,0.232064729,0.225265151,0.332516947,0.109452851
2060,0.233457117,0.230716568,0.34315749,0.110766285
2061,0.23485786,0.236299909,0.354138529,0.112095481
2062,0.236267007,0.242018367,0.365470962,0.113440626
2063,0.237684609,0.247875211,0.377166033,0.114801914
2064,0.239110717,0.253873791,0.389235346,0.116179537
2065,0.240545381,0.260017537,0.401690877,0.117573691
2066,0.241988654,0.266309961,0.414544985,0.118984576
2067,0.243440586,0.272754662,0.427810425,0.12041239
2068,0.244901229,0.279355325,0.441500358,0.121857339
2069,0.246370636,0.286115724,0.45562837,0.123319627
2070,0.24784886,0.293039725,0.470208478,0.124799463
2071,0.249335953,0.300131286,0.485255149,0.126297056
2072,0.250831969,0.307394463,0.500783314,0.127812621
2073,0.252336961,0.314833409,0.51680838,0.129346372
2074,0.253850983,0.322452378,0.533346248,0.130898529
2075,0.255374089,0.330255725,0.550413328,0.132469311
2076,0.256906333,0.338247914,0.568026554,0.134058943
2077,0.258447771,0.346433513,0.586203404,0.13566765
2078,0.259998458,0.354817204,0.604961913,0.137295662
2079,0.261558448,0.36340378,0.624320694,0.13894321
2080,0.263127799,0.372198152,0.644298956,0.140610529
