Heating energy,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Power,0.000476,0.000476,0.000476,0.000476,0.000952,0.000952,0.00119,0.0023613,0.002408526,0.002456697,0.002532891,0.002605631,0.002685897,0.002768332,0.002852991,0.002933952,0.003023106,0.003114653,0.003208652,0.003305165,0.003410853,0.003512716,0.00361729,0.003724642,0.003841982,0.003955242,0.004071496,0.004198396,0.004321013,0.00445474,0.004592088,0.004724945,0.004869647,0.005018246,0.005170842,0.005327534,0.005488426,0.005653622,0.00582323
Natural gas,0.00034,0.00034,0.00034,0.00034,0.00068,0.00068,0.00085,0.0015759,0.001607418,0.001639566,0.001688594,0.001738927,0.001790598,0.001849384,0.001903946,0.001959952,0.002017436,0.002082652,0.002143329,0.002205599,0.002276101,0.002341811,0.002416103,0.002485429,0.002563702,0.002636828,0.002719284,0.002803983,0.002883252,0.002972455,0.003064073,0.003158167,0.003246431,0.003345497,0.003447228,0.003551689,0.00365895,0.003769081,0.003882154
Oil fuel,0.000396,0.000396,0.000396,0.000396,0.000792,0.000792,0.00099,0.0017238,0.001758276,0.001793442,0.001845547,0.001904539,0.001959523,0.002021687,0.002079695,0.002145191,0.00220638,0.002275375,0.002346247,0.002412576,0.002487217,0.002563879,0.002642612,0.00272347,0.002799363,0.002884486,0.002971895,0.003061646,0.003153799,0.003248412,0.003353592,0.003453476,0.003556013,0.003661271,0.003769317,0.0038891,0.004003109,0.004129361,0.004249639
Wood fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
