Income class owner,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
C1,0.008,0.008,0.008,0.008,0.008,0.008,0.01,0.0102,0.010404,0.01061208,0.010824322,0.011040808,0.011261624,0.011486857,0.011716594,0.011950926,0.012189944,0.012433743,0.012682418,0.012936066,0.013194788,0.013458683,0.013727857,0.014002414,0.014282462,0.014568112,0.014859474,0.015156663,0.015459797,0.015768993,0.016084372,0.01640606,0.016734181,0.017068865,0.017410242,0.017758447,0.018113616,0.018475888,0.018845406,0.019222314,0.01960676,0.019998896,0.020398873,0.020806851,0.021222988,0.021647448,0.022080397,0.022522005,0.022972445,0.023431894,0.023900531,0.024378542,0.024866113,0.025363435,0.025870704,0.026388118,0.02691588,0.027454198,0.028003282,0.028563347,0.029134614,0.029717307,0.030311653,0.030917886,0.031536244,0.032166969,0.032810308,0.033466514,0.034135844
C2,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.0051,0.005202,0.00530604,0.005412161,0.005520404,0.005630812,0.005743428,0.005858297,0.005975463,0.006094972,0.006216872,0.006341209,0.006468033,0.006597394,0.006729342,0.006863929,0.007001207,0.007141231,0.007284056,0.007429737,0.007578332,0.007729898,0.007884496,0.008042186,0.00820303,0.008367091,0.008534432,0.008705121,0.008879223,0.009056808,0.009237944,0.009422703,0.009611157,0.00980338,0.009999448,0.010199437,0.010403425,0.010611494,0.010823724,0.011040198,0.011261002,0.011486222,0.011715947,0.011950266,0.012189271,0.012433056,0.012681718,0.012935352,0.013194059,0.01345794,0.013727099,0.014001641,0.014281674,0.014567307,0.014858653,0.015155826,0.015458943,0.015768122,0.016083484,0.016405154,0.016733257,0.017067922
C3,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.0051,0.005202,0.00530604,0.005412161,0.005520404,0.005630812,0.005743428,0.005858297,0.005975463,0.006094972,0.006216872,0.006341209,0.006468033,0.006597394,0.006729342,0.006863929,0.007001207,0.007141231,0.007284056,0.007429737,0.007578332,0.007729898,0.007884496,0.008042186,0.00820303,0.008367091,0.008534432,0.008705121,0.008879223,0.009056808,0.009237944,0.009422703,0.009611157,0.00980338,0.009999448,0.010199437,0.010403425,0.010611494,0.010823724,0.011040198,0.011261002,0.011486222,0.011715947,0.011950266,0.012189271,0.012433056,0.012681718,0.012935352,0.013194059,0.01345794,0.013727099,0.014001641,0.014281674,0.014567307,0.014858653,0.015155826,0.015458943,0.015768122,0.016083484,0.016405154,0.016733257,0.017067922
C4,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.0051,0.005202,0.00530604,0.005412161,0.005520404,0.005630812,0.005743428,0.005858297,0.005975463,0.006094972,0.006216872,0.006341209,0.006468033,0.006597394,0.006729342,0.006863929,0.007001207,0.007141231,0.007284056,0.007429737,0.007578332,0.007729898,0.007884496,0.008042186,0.00820303,0.008367091,0.008534432,0.008705121,0.008879223,0.009056808,0.009237944,0.009422703,0.009611157,0.00980338,0.009999448,0.010199437,0.010403425,0.010611494,0.010823724,0.011040198,0.011261002,0.011486222,0.011715947,0.011950266,0.012189271,0.012433056,0.012681718,0.012935352,0.013194059,0.01345794,0.013727099,0.014001641,0.014281674,0.014567307,0.014858653,0.015155826,0.015458943,0.015768122,0.016083484,0.016405154,0.016733257,0.017067922
C5,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.0051,0.005202,0.00530604,0.005412161,0.005520404,0.005630812,0.005743428,0.005858297,0.005975463,0.006094972,0.006216872,0.006341209,0.006468033,0.006597394,0.006729342,0.006863929,0.007001207,0.007141231,0.007284056,0.007429737,0.007578332,0.007729898,0.007884496,0.008042186,0.00820303,0.008367091,0.008534432,0.008705121,0.008879223,0.009056808,0.009237944,0.009422703,0.009611157,0.00980338,0.009999448,0.010199437,0.010403425,0.010611494,0.010823724,0.011040198,0.011261002,0.011486222,0.011715947,0.011950266,0.012189271,0.012433056,0.012681718,0.012935352,0.013194059,0.01345794,0.013727099,0.014001641,0.014281674,0.014567307,0.014858653,0.015155826,0.015458943,0.015768122,0.016083484,0.016405154,0.016733257,0.017067922
