,Power,Natural gas,Oil fuel,Wood fuel
2012,0.095045434,0.062795979,0.075308333,0.051383399
2013,0.099233959,0.06654436,0.071831667,0.054150198
2014,0.105067792,0.068693517,0.066206667,0.057114625
2015,0.106570289,0.066163917,0.0513475,0.056324111
2016,0.10551231,0.059209024,0.0436575,0.054545455
2017,0.106724316,0.058407772,0.050056667,0.055928854
2018,0.10995,0.0607392,0.060546667,0.055928854
2019,0.11515,0.0659007,0.060546667,0.055928854
2020,0.11641665,0.066552234,0.061847603,0.057452157
2021,0.117697233,0.067210209,0.063176493,0.05901695
2022,0.118991903,0.06787469,0.064533935,0.060624362
2023,0.120300814,0.06854574,0.065920544,0.062275555
2024,0.121624123,0.069223424,0.067336947,0.06397172
2025,0.122961988,0.069939457,0.068485398,0.065706361
2026,0.12431457,0.070662896,0.069653436,0.067488038
2027,0.12568203,0.071393818,0.070841395,0.069318026
2028,0.127064532,0.0721323,0.072049616,0.071197637
2029,0.128462242,0.072878421,0.073278442,0.073128214
2030,0.129875327,0.073372553,0.073845369,0.075118026
2031,0.131303956,0.073870036,0.074416681,0.077161981
2032,0.132748299,0.074370891,0.074992413,0.079261551
2033,0.13420853,0.074875142,0.0755726,0.081418251
2034,0.135684824,0.075382813,0.076157275,0.083633635
2035,0.137177357,0.075893925,0.076746473,0.085909298
2036,0.138686308,0.076408503,0.07734023,0.088246883
2037,0.140211858,0.07692657,0.077938581,0.090648073
2038,0.141754188,0.077448149,0.078541561,0.093114599
2039,0.143313484,0.077973265,0.079149206,0.095648239
2040,0.144889932,0.078224338,0.079434534,0.098250359
2041,0.146483722,0.078476219,0.07972089,0.100923269
2042,0.148095043,0.078728911,0.080008279,0.103668897
2043,0.149724088,0.078982417,0.080296704,0.106489219
2044,0.151371053,0.07923674,0.080586169,0.109386269
2045,0.153036135,0.079491881,0.080876678,0.112362133
2046,0.154719532,0.079747843,0.081168233,0.115418956
2047,0.156421447,0.08000463,0.08146084,0.11855894
2048,0.158142083,0.080262244,0.081754501,0.121784347
2049,0.159881646,0.080520687,0.082049221,0.125097503
2050,0.161640344,0.080779963,0.082345004,0.128500792
