,Power,Natural gas,Oil fuel,Wood fuel
2012,147,227,325,30
2013,147,227,325,30
2014,147,227,325,30
2015,147,227,325,30
2016,147,227,325,30
2017,147,227,325,30
2018,147,227,325,30
2019,147,227,325,30
2020,147,227,325,30
2021,147,227,325,30
2022,147,227,325,30
2023,147,227,325,30
2024,147,227,325,30
2025,147,227,325,30
2026,147,227,325,30
2027,147,227,325,30
2028,147,227,325,30
2029,147,227,325,30
2030,147,227,325,30
2031,147,227,325,30
2032,147,227,325,30
2033,147,227,325,30
2034,147,227,325,30
2035,147,227,325,30
2036,147,227,325,30
2037,147,227,325,30
2038,147,227,325,30
2039,147,227,325,30
2040,147,227,325,30
2041,147,227,325,30
2042,147,227,325,30
2043,147,227,325,30
2044,147,227,325,30
2045,147,227,325,30
2046,147,227,325,30
2047,147,227,325,30
2048,147,227,325,30
2049,147,227,325,30
2050,147,227,325,30
